,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2001-01-02,2.8886,2.8948,2.8446,2.8446,20124,,,,,,,,,,,NaN,NaN,NaN,NaN,2.8780666666666663,2.9115333333333333,2.9282666666666666,2.827866666666666,2.811133333333333,2.777666666666666
1,2001-01-03,2.8446,3.1335,2.8383,3.1146,415896,,,,,,,,,,,NaN,NaN,NaN,NaN,3.2193,3.3240000000000003,3.5145000000000004,2.9240999999999997,2.7335999999999996,2.6288999999999993
2,2001-01-04,3.1146,3.2716,3.0644,3.1711,1499910,,,,,,,,,,,NaN,NaN,NaN,NaN,3.273666666666667,3.3762333333333334,3.480866666666667,3.0664666666666673,2.9618333333333338,2.8592666666666675
3,2001-01-05,3.1711,3.2528,3.1774,3.2151,641285,,,,,,,,,,,NaN,NaN,NaN,NaN,3.2528,3.2905,3.3282000000000003,3.1774,3.1397,3.102
4,2001-01-08,3.2151,3.3156,3.2025,3.2339,469560,,,,,,,,,,,NaN,NaN,NaN,NaN,3.298833333333334,3.363766666666667,3.4119333333333337,3.185733333333334,3.1375666666666673,3.0726333333333344
5,2001-01-09,3.2339,3.2465,3.1711,3.2277,88546,,,,,,,,,,,NaN,NaN,NaN,NaN,3.259099999999999,3.2904999999999998,3.3344999999999994,3.183699999999999,3.1396999999999995,3.108299999999999
6,2001-01-10,3.2277,3.2653,3.1837,3.2528,105986,,,,,,,,,,,NaN,NaN,NaN,NaN,3.2841666666666667,3.315533333333333,3.3657666666666666,3.202566666666667,3.1523333333333334,3.120966666666667
7,2001-01-11,3.2528,3.2277,3.1083,3.1083,195874,,,,,,,,,,,NaN,NaN,NaN,NaN,3.1879,3.2675,3.3073,3.0685,3.0286999999999997,2.9490999999999996
8,2001-01-12,3.1083,3.1146,3.0267,3.0267,360891,,,,,,,,,,,NaN,NaN,NaN,NaN,3.0852999999999993,3.1438999999999995,3.173199999999999,2.9973999999999994,2.9680999999999997,2.9094999999999995
9,2001-01-15,3.0267,2.9828,2.8886,2.8886,122086,,,,,,,,,,,NaN,NaN,NaN,NaN,2.9514,3.0142,3.0456000000000003,2.8571999999999997,2.8257999999999996,2.7629999999999995
10,2001-01-16,2.8886,2.9388,2.8572,2.9137,114036,,,,,,,,,,,NaN,NaN,NaN,NaN,2.949266666666666,2.984833333333333,3.030866666666666,2.867666666666666,2.821633333333333,2.7860666666666662
11,2001-01-17,2.9137,2.9828,2.8697,2.9514,185141,,,,,,,,,,,NaN,NaN,NaN,NaN,2.9995666666666674,3.047733333333334,3.1126666666666676,2.886466666666667,2.8215333333333334,2.773366666666667
12,2001-01-18,2.9514,2.9828,2.8948,2.9702,115378,,,,,,,,,,,NaN,NaN,NaN,NaN,3.003733333333333,3.0372666666666666,3.091733333333333,2.915733333333333,2.8612666666666664,2.8277333333333328
13,2001-01-19,2.9702,2.9514,2.8760000000000003,2.9514,28174,,,,,,,,,,,NaN,NaN,NaN,NaN,2.9765333333333333,3.0016666666666665,3.051933333333333,2.9011333333333336,2.850866666666667,2.825733333333334
14,2001-01-22,2.9514,3.0016,2.9514,2.9828,46956,,,,,57.53873008946107,,,,,,NaN,NaN,NaN,NaN,3.0058000000000002,3.0288,3.056,2.9556000000000004,2.9284000000000003,2.9054000000000006
15,2001-01-23,2.9828,2.9828,2.9262,2.9514,123427,,,,,55.491525972449296,,,,,,NaN,NaN,NaN,NaN,2.9807333333333337,3.010066666666667,3.0373333333333337,2.9241333333333337,2.896866666666667,2.8675333333333337
16,2001-01-24,2.9514,3.0267,2.9325,2.9388,132819,,,,,54.65124121802836,,,,,,NaN,NaN,NaN,NaN,2.9994999999999994,3.0601999999999996,3.0936999999999992,2.9052999999999995,2.8718,2.8110999999999997
17,2001-01-25,2.9388,2.9514,2.8886,2.8886,24149,,,,,51.317130370028785,,,,,,NaN,NaN,NaN,NaN,2.930466666666667,2.9723333333333337,2.9932666666666674,2.867666666666667,2.8467333333333333,2.804866666666667
18,2001-01-26,2.8886,2.8886,2.8132,2.8258,81838,,,,,47.41969127865316,,,,,,NaN,NaN,NaN,NaN,2.8718666666666666,2.917933333333333,2.9472666666666663,2.796466666666667,2.7671333333333337,2.721066666666667
19,2001-01-29,2.8258,2.8948,2.8258,2.8258,68422,,,,,47.41969127865317,3.2958360157258215,3.0141649999999998,2.732493984274178,,,NaN,NaN,NaN,NaN,2.8718000000000004,2.9178,2.9408000000000003,2.8028000000000004,2.7798000000000003,2.7338000000000005
20,2001-01-30,2.8258,2.8446,2.7693,2.8446,50981,3.006090476190476,,,,48.770532751897186,3.2958360157258215,3.0141649999999998,2.732493984274178,,,NaN,NaN,NaN,NaN,2.8696999999999995,2.8947999999999996,2.9449999999999994,2.7943999999999996,2.7441999999999998,2.7190999999999996
21,2001-01-31,2.8446,2.8886,2.8383,2.8823,50981,3.007885714285714,,,,51.463422586624674,3.2858504871157206,3.00255,2.719249512884279,,,NaN,NaN,NaN,232927.57142857142,2.9011666666666662,2.920033333333333,2.9514666666666662,2.850866666666666,2.819433333333333,2.800566666666666
22,2001-02-01,2.8823,2.8823,2.8258,2.8258,68422,2.994133333333333,,,,47.438808005035064,3.267478439151238,2.9852849999999997,2.7030915608487613,,,NaN,NaN,NaN,234396.95238095237,2.8634666666666657,2.9011333333333327,2.9199666666666655,2.806966666666666,2.788133333333333,2.750466666666666
23,2001-02-02,2.8258,2.8572,2.8258,2.8446,69763,2.978585714285714,,,,48.87159605679628,3.2344461998684473,2.96676,2.6990738001315524,,,NaN,NaN,NaN,217850.57142857142,2.8592666666666666,2.8739333333333335,2.8906666666666667,2.8278666666666665,2.8111333333333333,2.7964666666666664
