Date,Predicted Price
2016-05-19,63.437675
2016-05-20,63.623398
2016-05-23,63.26353
2016-05-24,63.139515
2016-05-25,62.610157
2016-05-26,62.530697
2016-05-27,61.903515
2016-05-30,61.996246
2016-05-31,61.685326
2016-06-01,61.69258
2016-06-02,61.41403
2016-06-03,61.573277
2016-06-06,61.136276
2016-06-07,60.865334
2016-06-08,60.357185
2016-06-09,60.19357
2016-06-10,59.898544
2016-06-13,59.9696
2016-06-14,59.81317
2016-06-15,59.92591
2016-06-16,60.137825
2016-06-17,61.10017
2016-06-20,63.251247
2016-06-21,63.43946
2016-06-22,63.53622
2016-06-23,63.87297
2016-06-24,63.16938
2016-06-27,62.638935
2016-06-28,61.95974
2016-06-29,61.744217
2016-06-30,61.747284
2016-07-01,62.50464
2016-07-04,63.027016
2016-07-05,63.526405
2016-07-06,63.819927
2016-07-07,63.926968
2016-07-08,63.450302
2016-07-11,63.489216
2016-07-12,63.033554
2016-07-13,63.171665
2016-07-14,62.982334
2016-07-15,63.146896
2016-07-18,62.972916
2016-07-19,62.908604
2016-07-20,62.8489
2016-07-21,63.044834
2016-07-22,63.189167
2016-07-25,63.142616
2016-07-26,62.89673
2016-07-27,63.05563
2016-07-28,63.132755
2016-07-29,63.439034
2016-08-01,64.05708
2016-08-02,64.78653
2016-08-03,65.8843
2016-08-04,65.707634
2016-08-05,65.52587
2016-08-08,65.75876
2016-08-09,65.58644
2016-08-10,65.98706
2016-08-11,66.44099
2016-08-12,66.69237
2016-08-15,66.84238
2016-08-16,67.407814
2016-08-17,68.385155
2016-08-18,69.05124
2016-08-19,69.719536
2016-08-22,70.06144
2016-08-23,70.1251
2016-08-24,70.49069
2016-08-25,70.65332
2016-08-26,70.641014
2016-08-29,70.54728
2016-08-30,70.90473
2016-08-31,70.61633
2016-09-01,70.75757
2016-09-02,70.70439
2016-09-05,70.78621
2016-09-06,70.46409
2016-09-07,70.83787
2016-09-08,70.786736
2016-09-09,71.08855
2016-09-12,71.32408
2016-09-13,71.42151
2016-09-14,71.231804
2016-09-15,71.38616
2016-09-16,70.85613
2016-09-19,70.86208
2016-09-20,70.616295
2016-09-21,70.716965
2016-09-22,70.44813
2016-09-23,70.83544
2016-09-26,70.80897
2016-09-27,71.19623
2016-09-28,71.33202
2016-09-29,71.29518
2016-09-30,71.30713
2016-10-03,71.59263
2016-10-04,71.38073
2016-10-05,71.68297
2016-10-06,71.881905
2016-10-07,72.00836
2016-10-10,72.13417
2016-10-11,72.76809
2016-10-12,73.01907
2016-10-13,73.47984
2016-10-14,74.10966
2016-10-17,74.55459
2016-10-18,74.3665
2016-10-19,74.67419
2016-10-20,74.89384
2016-10-21,75.324234
2016-10-24,75.76757
2016-10-25,75.316925
2016-10-26,74.4237
2016-10-27,74.65257
2016-10-28,74.135826
2016-10-31,73.806
2016-11-01,73.55824
2016-11-02,74.43176
2016-11-03,75.63936
2016-11-04,76.33
2016-11-07,77.13585
2016-11-08,78.222336
2016-11-09,78.684654
2016-11-10,78.772865
2016-11-11,78.84913
2016-11-14,79.17555
2016-11-15,78.85964
2016-11-16,79.05919
2016-11-17,78.80433
2016-11-18,78.66438
2016-11-21,78.255486
2016-11-22,78.24932
2016-11-23,77.9929
2016-11-24,77.92109
2016-11-25,77.84066
2016-11-28,77.90144
2016-11-29,77.94958
2016-11-30,78.09408
2016-12-01,77.654686
2016-12-02,77.59535
2016-12-05,77.487564
2016-12-06,77.71481
2016-12-07,78.17542
2016-12-08,78.330605
2016-12-09,78.49457
2016-12-12,78.65115
2016-12-13,78.94731
2016-12-14,79.41094
2016-12-15,80.88686
2016-12-16,81.48421
2016-12-19,82.20209
2016-12-20,83.110214
2016-12-21,84.82483
2016-12-22,85.31716
2016-12-23,86.67267
2016-12-26,87.77223
2016-12-27,88.62151
2016-12-28,88.744995
2016-12-29,89.40072
2016-12-30,89.34495
2017-01-02,89.18244
2017-01-03,89.84088
2017-01-04,90.04568
2017-01-05,89.9465
2017-01-06,90.02746
2017-01-09,90.065956
2017-01-10,89.895424
2017-01-11,90.43995
2017-01-12,90.71473
2017-01-13,90.71448
2017-01-16,90.605515
2017-01-17,90.02252
2017-01-18,88.68779
2017-01-19,88.82462
2017-01-20,88.18491
2017-01-23,87.44613
2017-01-24,86.715805
2017-01-25,86.77321
2017-01-26,86.551956
2017-01-27,86.52992
2017-01-30,85.58144
2017-01-31,85.25729
2017-02-01,83.98889
2017-02-02,84.70744
2017-02-03,84.87412
2017-02-06,84.77523
2017-02-07,84.19698
2017-02-08,84.34889
2017-02-09,83.93937
2017-02-10,83.487206
2017-02-13,82.389
2017-02-14,82.64504
2017-02-15,81.62386
2017-02-16,80.57896
2017-02-17,79.61631
2017-02-20,79.629295
2017-02-21,78.99738
2017-02-22,78.93149
2017-02-23,78.05241
2017-02-24,77.49031
2017-02-27,76.133545
2017-02-28,75.93964
2017-03-01,75.09791
2017-03-02,75.041916
2017-03-03,74.80862
2017-03-06,74.73987
2017-03-07,74.59477
2017-03-08,74.57343
2017-03-09,74.27621
2017-03-10,74.40678
2017-03-13,73.8252
2017-03-14,73.787476
2017-03-15,73.05133
2017-03-16,72.415985
2017-03-17,71.51488
2017-03-20,71.8709
2017-03-21,71.63792
2017-03-22,71.84317
2017-03-23,72.5052
2017-03-24,72.82375
2017-03-27,72.83216
2017-03-28,73.042404
2017-03-29,72.66935
2017-03-30,72.65837
2017-03-31,72.27139
2017-04-03,72.164536
2017-04-04,71.7541
2017-04-05,71.755424
2017-04-06,70.71056
2017-04-07,70.514725
2017-04-10,70.27142
2017-04-11,70.77942
2017-04-12,70.7771
2017-04-13,70.849236
2017-04-14,70.60507
2017-04-17,70.51424
2017-04-18,70.06598
2017-04-19,70.17509
2017-04-20,70.5757
2017-04-21,70.94262
2017-04-24,71.13239
2017-04-25,71.69432
2017-04-26,71.90692
2017-04-27,72.078156
2017-04-28,72.10496
2017-05-01,72.43781
2017-05-02,72.47787
2017-05-03,72.535995
2017-05-04,72.18011
2017-05-05,72.14346
2017-05-08,71.53736
2017-05-09,72.3984
2017-05-10,73.24695
2017-05-11,73.91925
2017-05-12,74.77987
2017-05-15,74.75605
2017-05-16,74.85414
2017-05-17,75.41921
2017-05-18,75.42863
2017-05-19,75.62926
2017-05-22,75.63567
2017-05-23,75.88891
2017-05-24,75.89747
2017-05-25,77.04383
2017-05-26,77.345566
2017-05-29,77.927574
2017-05-30,77.8889
2017-05-31,77.69553
2017-06-01,76.1766
2017-06-02,76.0106
2017-06-05,74.71575
2017-06-06,74.59831
2017-06-07,74.1711
2017-06-08,74.00037
2017-06-09,73.70167
2017-06-12,73.91233
2017-06-13,72.542
2017-06-14,72.4645
2017-06-15,71.48369
2017-06-16,71.55274
2017-06-19,70.57841
2017-06-20,70.69737
2017-06-21,69.192375
2017-06-22,69.02936
2017-06-23,68.43146
2017-06-26,68.75581
2017-06-27,68.45108
2017-06-28,68.69628
2017-06-29,68.54688
2017-06-30,68.69277
2017-07-03,69.020355
2017-07-04,68.48602
2017-07-05,68.52617
2017-07-06,68.990746
2017-07-07,67.69435
2017-07-10,67.75424
2017-07-11,68.647156
2017-07-12,68.48458
2017-07-13,68.28208
2017-07-14,68.81264
2017-07-17,68.3276
2017-07-18,68.02297
2017-07-19,68.59968
2017-07-20,68.74055
2017-07-21,68.71302
2017-07-24,68.99525
2017-07-25,68.829155
2017-07-26,68.91167
2017-07-27,69.84396
2017-07-28,70.19003
2017-07-31,70.700096
2017-08-01,71.114655
2017-08-02,71.23639
2017-08-03,71.19216
2017-08-04,71.42001
2017-08-07,71.28592
2017-08-08,70.30254
2017-08-09,70.14756
2017-08-10,69.10999
2017-08-11,68.65404
2017-08-14,68.65332
2017-08-15,68.97771
2017-08-16,68.47993
2017-08-17,68.37839
2017-08-18,67.56311
2017-08-21,67.37821
2017-08-22,66.586296
2017-08-23,67.22051
2017-08-24,68.20267
2017-08-25,67.9061
2017-08-28,67.71931
2017-08-29,68.07239
2017-08-30,67.36466
2017-08-31,67.75232
2017-09-01,68.113106
2017-09-04,68.217384
2017-09-05,68.355995
2017-09-06,68.62082
2017-09-07,68.20912
2017-09-08,68.05815
2017-09-11,67.51368
2017-09-12,67.580414
2017-09-13,67.23579
2017-09-14,67.48513
2017-09-15,67.82906
