Date,Predicted Price
2014-12-30,137.44742
2014-12-31,139.89938
2015-01-01,140.25894
2015-01-02,139.81824
2015-01-05,141.91356
2015-01-06,143.69977
2015-01-07,147.16534
2015-01-08,149.82741
2015-01-09,150.92656
2015-01-12,151.20038
2015-01-13,154.0847
2015-01-14,153.37036
2015-01-15,150.39403
2015-01-16,154.69458
2015-01-19,154.16118
2015-01-20,153.68443
2015-01-21,157.14478
2015-01-22,158.07907
2015-01-23,158.00664
2015-01-26,160.3196
2015-01-27,159.89738
2015-01-28,159.98672
2015-01-29,159.42116
2015-01-30,158.19788
2015-02-02,148.78386
2015-02-03,151.63593
2015-02-04,149.68748
2015-02-05,148.77905
2015-02-06,148.62852
2015-02-09,149.03197
2015-02-10,145.13277
2015-02-11,148.6641
2015-02-12,147.69136
2015-02-13,146.00308
2015-02-16,144.51036
2015-02-17,145.72435
2015-02-18,142.10628
2015-02-19,144.83504
2015-02-20,144.22403
2015-02-23,142.7729
2015-02-24,140.60278
2015-02-25,141.20634
2015-02-26,135.14575
2015-02-27,137.4461
2015-03-02,136.02852
2015-03-03,135.50641
2015-03-04,135.6713
2015-03-05,137.2465
2015-03-06,138.77333
2015-03-09,140.94183
2015-03-10,140.87703
2015-03-11,140.46371
2015-03-12,139.66554
2015-03-13,139.81386
2015-03-16,136.59285
2015-03-17,138.46819
2015-03-18,136.62535
2015-03-19,134.74802
2015-03-20,129.6365
2015-03-23,131.25038
2015-03-24,127.17896
2015-03-25,127.59198
2015-03-26,125.91304
2015-03-27,125.44333
2015-03-30,121.061714
2015-03-31,119.57054
2015-04-01,113.33025
2015-04-02,119.65987
2015-04-03,120.88964
2015-04-06,120.25532
2015-04-07,127.468704
2015-04-08,128.95015
2015-04-09,133.54173
2015-04-10,135.9002
2015-04-13,137.0948
2015-04-14,137.97585
2015-04-15,140.601
2015-04-16,139.59857
2015-04-17,139.02904
2015-04-20,147.77719
2015-04-21,149.43248
2015-04-22,147.53046
2015-04-23,151.0942
2015-04-24,152.47542
2015-04-27,150.32191
2015-04-28,157.05112
2015-04-29,157.66707
2015-04-30,155.20566
2015-05-01,155.60033
2015-05-04,157.24792
2015-05-05,152.91475
2015-05-06,156.70862
2015-05-07,157.6528
2015-05-08,155.67757
2015-05-11,156.37544
2015-05-12,156.42923
2015-05-13,151.92816
2015-05-14,158.5827
2015-05-15,159.61139
2015-05-18,156.94202
2015-05-19,157.93126
2015-05-20,159.2717
2015-05-21,153.03537
2015-05-22,156.53
2015-05-25,156.1945
2015-05-26,154.30481
2015-05-27,154.11589
2015-05-28,155.59947
2015-05-29,153.46376
2015-06-01,157.0571
2015-06-02,157.39676
2015-06-03,156.47858
2015-06-04,158.54994
2015-06-05,158.91185
2015-06-08,156.02644
2015-06-09,162.30112
2015-06-10,164.39871
2015-06-11,163.75288
2015-06-12,169.63243
2015-06-15,169.75885
2015-06-16,166.14296
2015-06-17,170.78668
2015-06-18,168.7039
2015-06-19,168.2927
2015-06-22,170.43114
2015-06-23,169.71655
2015-06-24,167.14006
2015-06-25,175.31558
2015-06-26,174.8378
2015-06-29,172.1464
2015-06-30,172.96107
2015-07-01,174.32059
2015-07-02,169.32729
2015-07-03,174.42209
2015-07-06,177.50182
2015-07-07,176.96152
2015-07-08,183.86278
2015-07-09,184.2434
2015-07-10,180.03279
2015-07-13,184.52765
2015-07-14,184.5674
2015-07-15,182.09839
2015-07-16,184.22412
2015-07-17,185.38713
2015-07-20,181.66486
2015-07-21,185.4718
2015-07-22,185.51299
2015-07-23,182.80338
2015-07-24,181.4365
2015-07-27,182.395
2015-07-28,172.87236
2015-07-29,177.60645
2015-07-30,179.7118
2015-07-31,178.72751
2015-08-03,188.29759
2015-08-04,188.8244
2015-08-05,187.5925
2015-08-06,191.71742
2015-08-07,192.18666
2015-08-10,189.46494
2015-08-11,190.27124
2015-08-12,190.50337
2015-08-13,179.85725
2015-08-14,178.65533
2015-08-17,175.84673
2015-08-18,173.35138
2015-08-19,168.42084
2015-08-20,168.53789
2015-08-21,159.40845
2015-08-24,160.94406
2015-08-25,156.22765
2015-08-26,156.23589
2015-08-27,154.96204
2015-08-28,154.4242
2015-08-31,153.9944
2015-09-01,160.00436
2015-09-02,158.83446
2015-09-03,157.14772
2015-09-04,156.75877
2015-09-07,156.77493
2015-09-08,149.11076
2015-09-09,153.67795
2015-09-10,154.89326
2015-09-11,153.1368
2015-09-14,155.05193
2015-09-15,155.9205
2015-09-16,150.5034
2015-09-17,154.83218
2015-09-18,154.69423
2015-09-21,152.53337
2015-09-22,152.49689
2015-09-23,153.91637
2015-09-24,149.94633
2015-09-25,152.88199
2015-09-28,152.5678
2015-09-29,151.12769
2015-09-30,149.82689
2015-10-01,150.56448
2015-10-02,146.85527
2015-10-05,152.18497
2015-10-06,151.22334
2015-10-07,150.30028
2015-10-08,153.1792
2015-10-09,153.10971
2015-10-12,152.4779
2015-10-13,157.63959
2015-10-14,157.74257
2015-10-15,156.14983
2015-10-16,156.96497
2015-10-19,157.5618
2015-10-20,152.66716
2015-10-21,154.88074
2015-10-22,154.04504
2015-10-23,152.8659
2015-10-26,152.58528
2015-10-27,152.64656
2015-10-28,148.3795
2015-10-29,152.15868
2015-10-30,152.12541
2015-11-02,150.53464
2015-11-03,150.76776
2015-11-04,151.77998
2015-11-05,148.70479
2015-11-06,153.20038
2015-11-09,152.90121
2015-11-10,151.3577
2015-11-11,151.1764
2015-11-12,152.51456
2015-11-13,152.48738
2015-11-16,156.3754
2015-11-17,156.35709
2015-11-18,155.21124
2015-11-19,158.27545
2015-11-20,158.45738
2015-11-23,157.1217
2015-11-24,160.16873
2015-11-25,159.6171
2015-11-26,157.84192
2015-11-27,156.70949
2015-11-30,157.09885
2015-12-01,150.36609
2015-12-02,150.43686
2015-12-03,151.18813
2015-12-04,150.6153
2015-12-07,153.73314
2015-12-08,153.69246
2015-12-09,152.5587
2015-12-10,158.11078
2015-12-11,158.77553
2015-12-14,156.47946
2015-12-15,156.13152
2015-12-16,157.11598
2015-12-17,151.2625
2015-12-18,155.09909
2015-12-21,153.73824
2015-12-22,153.8703
2015-12-23,158.0526
2015-12-24,158.19995
2015-12-25,160.20592
2015-12-28,164.77278
2015-12-29,164.50032
2015-12-30,163.12918
2015-12-31,164.03389
2016-01-01,164.4188
2016-01-04,162.84018
2016-01-05,167.32278
2016-01-06,167.02626
2016-01-07,165.3153
2016-01-08,164.68835
2016-01-11,164.64108
2016-01-12,156.23006
2016-01-13,160.27899
2016-01-14,158.86688
2016-01-15,156.2811
2016-01-18,152.72235
2016-01-19,153.94533
2016-01-20,148.81012
2016-01-21,153.17091
2016-01-22,153.59352
2016-01-25,153.29478
2016-01-26,157.72917
2016-01-27,157.36455
2016-01-28,155.19823
2016-01-29,160.47253
2016-02-01,159.74965
2016-02-02,158.48627
2016-02-03,159.93843
2016-02-04,160.46906
2016-02-05,158.15585
2016-02-08,162.32933
2016-02-09,161.74811
2016-02-10,160.1808
2016-02-11,159.39835
2016-02-12,158.99002
2016-02-15,150.79388
2016-02-16,155.7351
2016-02-17,154.29033
2016-02-18,152.63655
2016-02-19,152.63922
2016-02-22,152.93329
2016-02-23,147.71785
2016-02-24,151.64445
2016-02-25,151.48633
2016-02-26,150.20041
2016-02-29,152.19394
2016-03-01,152.9827
2016-03-02,151.61092
2016-03-03,155.686
2016-03-04,157.07317
2016-03-07,156.10316
2016-03-08,159.72723
2016-03-09,160.33365
2016-03-10,157.65962
2016-03-11,160.10823
2016-03-14,159.97823
2016-03-15,159.44864
2016-03-16,161.75232
2016-03-17,163.53297
2016-03-18,167.5158
2016-03-21,172.01288
2016-03-22,172.49704
2016-03-23,170.95363
2016-03-24,171.80138
2016-03-25,172.11636
2016-03-28,166.31888
2016-03-29,171.0871
2016-03-30,173.45146
2016-03-31,171.82285
2016-04-01,176.59995
2016-04-04,178.19344
2016-04-05,176.42812
2016-04-06,180.82492
2016-04-07,179.62907
2016-04-08,177.1062
2016-04-11,176.11646
2016-04-12,176.53029
2016-04-13,169.44618
2016-04-14,175.32025
2016-04-15,178.70204
2016-04-18,176.71361
2016-04-19,186.29262
2016-04-20,188.13696
2016-04-21,190.0707
2016-04-22,191.00879
2016-04-25,192.81673
2016-04-26,190.60309
2016-04-27,193.61409
2016-04-28,195.72047
2016-04-29,195.75032
2016-05-02,199.49872
2016-05-03,198.58072
2016-05-04,195.90909
2016-05-05,194.74413
2016-05-06,196.1881
2016-05-09,190.25926
2016-05-10,194.93787
2016-05-11,195.41142
2016-05-12,192.56378
2016-05-13,194.31917
2016-05-16,195.77037
2016-05-17,191.53496
2016-05-18,196.8053
2016-05-19,196.8323
2016-05-20,193.89117
2016-05-23,196.20525
