Date,Predicted Price
2016-12-14,213.0097
2016-12-15,215.0588
2016-12-16,218.00888
2016-12-19,217.06482
2016-12-20,221.2742
2016-12-21,228.12523
2016-12-22,234.46765
2016-12-23,233.65915
2016-12-26,232.92532
2016-12-27,230.67459
2016-12-28,231.7615
2016-12-29,231.36789
2016-12-30,234.81342
2017-01-02,236.81235
2017-01-03,242.75504
2017-01-04,241.84302
2017-01-05,245.00203
2017-01-06,244.39383
2017-01-09,246.29785
2017-01-10,245.5235
2017-01-11,243.82643
2017-01-12,242.36359
2017-01-13,243.4104
2017-01-16,240.33206
2017-01-17,239.6527
2017-01-18,236.43477
2017-01-19,232.07362
2017-01-20,229.58926
2017-01-23,230.16148
2017-01-24,227.75717
2017-01-25,228.83553
2017-01-26,228.05606
2017-01-27,229.15663
2017-01-30,228.86905
2017-01-31,231.06725
2017-02-01,229.67178
2017-02-02,231.61876
2017-02-03,231.56012
2017-02-06,230.29547
2017-02-07,229.50311
2017-02-08,231.5847
2017-02-09,231.50827
2017-02-10,234.18405
2017-02-13,234.69284
2017-02-14,235.63205
2017-02-15,234.7613
2017-02-16,236.05199
2017-02-17,234.47586
2017-02-20,237.00182
2017-02-21,238.77063
2017-02-22,240.63075
2017-02-23,239.88655
2017-02-24,241.88002
2017-02-27,240.03717
2017-02-28,241.4345
2017-03-01,241.05247
2017-03-02,240.42273
2017-03-03,241.34375
2017-03-06,245.32951
2017-03-07,247.23044
2017-03-08,250.30925
2017-03-09,251.19693
2017-03-10,252.49222
2017-03-13,250.93387
2017-03-14,253.21138
2017-03-15,251.44383
2017-03-16,252.15305
2017-03-17,251.31744
2017-03-20,250.86969
2017-03-21,250.66756
2017-03-22,252.6124
2017-03-23,250.87148
2017-03-24,252.28801
2017-03-27,252.89801
2017-03-28,252.91298
2017-03-29,250.99423
2017-03-30,251.90797
2017-03-31,246.57239
2017-04-03,245.2146
2017-04-04,242.8641
2017-04-05,238.93373
2017-04-06,234.89905
2017-04-07,234.87593
2017-04-10,233.40503
2017-04-11,237.08415
2017-04-12,240.21541
2017-04-13,243.76944
2017-04-14,241.36229
2017-04-17,242.63507
2017-04-18,237.55261
2017-04-19,236.08879
2017-04-20,234.2461
2017-04-21,236.04427
2017-04-24,237.02135
2017-04-25,240.37524
2017-04-26,240.63216
2017-04-27,243.74498
2017-04-28,243.67023
2017-05-01,244.28894
2017-05-02,243.12747
2017-05-03,245.21056
2017-05-04,244.85094
2017-05-05,249.36084
2017-05-08,253.17502
2017-05-09,263.05045
2017-05-10,263.89053
2017-05-11,269.8486
2017-05-12,273.23868
2017-05-15,276.5578
2017-05-16,277.11862
2017-05-17,273.32434
2017-05-18,269.55484
