Date,Predicted Price
2014-12-30,9.281718
2014-12-31,9.043152
2015-01-01,9.092753
2015-01-02,9.18847
2015-01-05,9.225969
2015-01-06,9.246017
2015-01-07,9.660523
2015-01-08,9.556117
2015-01-09,9.744515
2015-01-12,10.052532
2015-01-13,9.941353
2015-01-14,9.684953
2015-01-15,9.95781
2015-01-16,9.604304
2015-01-19,9.827466
2015-01-20,10.07119
2015-01-21,10.039739
2015-01-22,9.80902
2015-01-23,10.061988
2015-01-26,9.484815
2015-01-27,9.177523
2015-01-28,9.309145
2015-01-29,9.070884
2015-01-30,8.781898
2015-02-02,8.8685255
2015-02-03,8.675278
2015-02-04,8.613287
2015-02-05,8.606937
2015-02-06,8.536306
2015-02-09,8.3608
2015-02-10,8.408204
2015-02-11,8.297388
2015-02-12,8.363988
2015-02-13,8.3389
2015-02-16,8.370069
2015-02-17,8.297746
2015-02-18,8.407187
2015-02-19,8.329426
2015-02-20,8.328461
2015-02-23,8.329504
2015-02-24,8.3324795
2015-02-25,8.242501
2015-02-26,8.314833
2015-02-27,8.238125
2015-03-02,8.180574
2015-03-03,8.099219
2015-03-04,8.028294
2015-03-05,7.8980947
2015-03-06,7.924269
2015-03-09,7.854472
2015-03-10,7.85061
2015-03-11,7.788235
2015-03-12,7.7924933
2015-03-13,7.7400885
2015-03-16,7.8009667
2015-03-17,7.7780657
2015-03-18,7.773699
2015-03-19,7.6585793
2015-03-20,7.593768
2015-03-23,7.468603
2015-03-24,7.4372497
2015-03-25,7.378074
2015-03-26,7.236621
2015-03-27,7.1096177
2015-03-30,7.016835
2015-03-31,6.7506056
2015-04-01,6.687953
2015-04-02,6.811483
2015-04-03,7.0541058
2015-04-06,6.9386077
2015-04-07,7.282165
2015-04-08,7.391308
2015-04-09,7.4687824
2015-04-10,7.541745
2015-04-13,7.545549
2015-04-14,7.4463563
2015-04-15,7.472264
2015-04-16,7.432627
2015-04-17,7.5159388
2015-04-20,7.6649528
2015-04-21,7.7806835
2015-04-22,7.6854806
2015-04-23,7.7540317
2015-04-24,7.6455884
2015-04-27,7.595326
2015-04-28,7.548361
2015-04-29,7.504141
