Date,Predicted Price
2014-12-30,327.19022
2014-12-31,311.32498
2015-01-01,311.1592
2015-01-02,309.96118
2015-01-05,313.44415
2015-01-06,323.66443
2015-01-07,328.23648
2015-01-08,323.422
2015-01-09,325.0117
2015-01-12,322.64566
2015-01-13,325.71762
2015-01-14,329.93835
2015-01-15,331.26324
2015-01-16,323.82
2015-01-19,327.3394
2015-01-20,332.00604
2015-01-21,345.91312
2015-01-22,363.2912
2015-01-23,374.54977
2015-01-26,381.42514
2015-01-27,393.13693
2015-01-28,397.44305
2015-01-29,404.7742
2015-01-30,410.69833
2015-02-02,413.60495
2015-02-03,402.65625
2015-02-04,404.3676
2015-02-05,398.62772
2015-02-06,399.184
2015-02-09,403.99197
2015-02-10,401.67484
2015-02-11,390.61978
2015-02-12,401.40274
2015-02-13,404.98422
2015-02-16,411.75687
2015-02-17,420.10513
2015-02-18,418.44803
2015-02-19,393.5334
2015-02-20,381.86508
2015-02-23,369.6132
2015-02-24,368.02542
2015-02-25,367.87607
2015-02-26,365.7804
2015-02-27,351.98694
2015-03-02,352.2703
2015-03-03,348.39505
2015-03-04,350.37137
2015-03-05,357.24066
2015-03-06,356.89047
2015-03-09,346.58868
2015-03-10,345.92618
2015-03-11,339.79904
2015-03-12,339.22272
2015-03-13,345.08218
2015-03-16,346.63815
2015-03-17,341.36206
2015-03-18,342.7029
2015-03-19,336.75964
2015-03-20,337.27792
2015-03-23,347.86316
2015-03-24,347.51566
2015-03-25,344.6422
2015-03-26,350.29745
2015-03-27,348.35745
2015-03-30,348.6227
2015-03-31,348.82315
2015-04-01,350.0047
2015-04-02,337.53802
2015-04-03,337.40097
2015-04-06,333.87814
2015-04-07,340.70645
2015-04-08,346.5109
2015-04-09,351.42014
2015-04-10,354.16632
2015-04-13,365.5132
2015-04-14,369.88986
2015-04-15,376.34094
2015-04-16,387.14072
2015-04-17,388.44302
2015-04-20,377.70642
2015-04-21,372.29117
2015-04-22,359.13904
2015-04-23,360.71817
2015-04-24,373.75006
2015-04-27,370.68887
2015-04-28,363.11865
2015-04-29,366.69376
2015-04-30,362.20987
2015-05-01,363.67258
2015-05-04,370.8301
2015-05-05,373.2308
2015-05-06,366.88864
2015-05-07,370.9774
2015-05-08,367.26883
2015-05-11,367.13153
2015-05-12,368.57437
2015-05-13,367.4281
2015-05-14,350.70877
2015-05-15,353.24722
2015-05-18,354.88193
2015-05-19,359.3206
2015-05-20,363.71484
2015-05-21,364.91324
2015-05-22,351.21463
2015-05-25,351.63492
2015-05-26,348.1453
2015-05-27,348.43713
2015-05-28,355.12265
2015-05-29,356.92392
2015-06-01,355.52222
2015-06-02,365.01926
2015-06-03,367.6351
2015-06-04,373.21347
2015-06-05,387.55142
2015-06-08,388.19937
2015-06-09,384.65247
2015-06-10,392.41403
2015-06-11,391.45157
2015-06-12,394.94446
2015-06-15,404.5917
2015-06-16,405.08652
2015-06-17,394.96417
2015-06-18,395.94534
2015-06-19,389.2745
2015-06-22,386.61374
2015-06-23,388.65024
2015-06-24,386.67053
2015-06-25,374.42722
2015-06-26,375.3283
2015-06-29,370.58047
2015-06-30,372.45163
2015-07-01,382.3735
2015-07-02,382.49683
2015-07-03,376.8876
2015-07-06,381.15958
2015-07-07,379.1074
2015-07-08,388.2159
