Date,Predicted Price
2014-12-30,172.01561
2014-12-31,169.5004
2015-01-01,167.4797
2015-01-02,167.77902
2015-01-05,168.45294
2015-01-06,167.2793
2015-01-07,166.18172
2015-01-08,163.26997
2015-01-09,165.35825
2015-01-12,169.11269
2015-01-13,170.90126
2015-01-14,168.88641
2015-01-15,169.24739
2015-01-16,168.3932
2015-01-19,167.9679
2015-01-20,168.44249
2015-01-21,168.69916
2015-01-22,168.88379
2015-01-23,168.48262
2015-01-26,168.72568
2015-01-27,165.38548
2015-01-28,165.62111
2015-01-29,165.04442
2015-01-30,164.39223
2015-02-02,162.28105
2015-02-03,161.86461
2015-02-04,166.4056
2015-02-05,167.33958
2015-02-06,168.93999
2015-02-09,168.40892
2015-02-10,169.56178
2015-02-11,170.24823
2015-02-12,170.48744
2015-02-13,170.97789
2015-02-16,172.49535
2015-02-17,172.90305
2015-02-18,173.30403
2015-02-19,176.35785
2015-02-20,176.2144
2015-02-23,175.46777
2015-02-24,174.47813
2015-02-25,174.09744
2015-02-26,171.88277
2015-02-27,169.60562
2015-03-02,169.32396
2015-03-03,168.48755
2015-03-04,168.54048
2015-03-05,168.38863
2015-03-06,167.66246
2015-03-09,168.65993
2015-03-10,169.32265
2015-03-11,168.44537
2015-03-12,167.83485
2015-03-13,168.03412
2015-03-16,166.88359
2015-03-17,166.22702
2015-03-18,163.402
2015-03-19,160.08362
2015-03-20,157.59998
2015-03-23,157.73203
2015-03-24,154.80016
2015-03-25,151.13113
2015-03-26,148.43349
2015-03-27,149.20169
2015-03-30,148.28998
2015-03-31,146.4843
2015-04-01,145.90204
2015-04-02,147.61375
2015-04-03,149.31802
2015-04-06,146.26758
2015-04-07,146.18091
2015-04-08,147.44373
2015-04-09,148.28966
2015-04-10,154.5107
2015-04-13,157.73174
2015-04-14,158.91519
2015-04-15,161.05122
2015-04-16,161.0345
2015-04-17,162.2412
2015-04-20,167.76143
2015-04-21,172.14049
2015-04-22,171.49066
2015-04-23,171.03706
2015-04-24,170.8215
2015-04-27,170.24263
2015-04-28,169.92282
2015-04-29,169.1723
2015-04-30,168.16008
2015-05-01,168.59023
2015-05-04,168.6207
2015-05-05,167.96834
2015-05-06,170.92126
2015-05-07,177.49706
2015-05-08,179.74911
2015-05-11,181.227
2015-05-12,178.30673
2015-05-13,178.49423
2015-05-14,176.21542
2015-05-15,177.18733
2015-05-18,176.14209
2015-05-19,174.47198
2015-05-20,174.6395
2015-05-21,172.85533
2015-05-22,171.16536
2015-05-25,171.6993
2015-05-26,172.8937
2015-05-27,173.55766
2015-05-28,173.24118
2015-05-29,173.18779
2015-06-01,175.37003
2015-06-02,177.59535
2015-06-03,177.76776
2015-06-04,178.66525
2015-06-05,178.43768
2015-06-08,177.8563
2015-06-09,180.02422
2015-06-10,182.61821
2015-06-11,183.69983
2015-06-12,186.39827
2015-06-15,186.52063
2015-06-16,186.38277
2015-06-17,187.30243
2015-06-18,187.39232
2015-06-19,187.03984
2015-06-22,186.81421
2015-06-23,186.09622
2015-06-24,184.75499
2015-06-25,182.93292
2015-06-26,182.1346
2015-06-29,181.2774
2015-06-30,181.7983
2015-07-01,182.54242
2015-07-02,181.96365
2015-07-03,183.50034
2015-07-06,184.6311
2015-07-07,182.76556
2015-07-08,178.34912
2015-07-09,177.70035
2015-07-10,174.4123
2015-07-13,170.09146
2015-07-14,169.1652
2015-07-15,166.71895
2015-07-16,166.35822
2015-07-17,166.08395
2015-07-20,164.05814
2015-07-21,162.61922
2015-07-22,163.1125
2015-07-23,162.7086
2015-07-24,163.05913
2015-07-27,162.64136
2015-07-28,161.54639
2015-07-29,160.3979
2015-07-30,161.73679
2015-07-31,164.25276
2015-08-03,167.0111
2015-08-04,165.43076
2015-08-05,166.06584
2015-08-06,166.76732
2015-08-07,167.3229
2015-08-10,166.88605
2015-08-11,165.62654
2015-08-12,166.05115
2015-08-13,164.62325
2015-08-14,164.26053
2015-08-17,164.63615
2015-08-18,163.36209
2015-08-19,162.0173
2015-08-20,162.31274
2015-08-21,159.85484
2015-08-24,155.79916
2015-08-25,151.11574
2015-08-26,146.63937
2015-08-27,143.79579
2015-08-28,146.1182
2015-08-31,144.91447
2015-09-01,152.94444
2015-09-02,156.68565
2015-09-03,155.34967
2015-09-04,156.09596
2015-09-07,156.2463
2015-09-08,154.38179
2015-09-09,153.55922
2015-09-10,155.17354
2015-09-11,153.35333
2015-09-14,153.35504
2015-09-15,153.62878
2015-09-16,152.36986
2015-09-17,151.56058
2015-09-18,151.68843
2015-09-21,151.66663
2015-09-22,151.16078
2015-09-23,150.57938
2015-09-24,149.29964
2015-09-25,148.30847
2015-09-28,148.3662
2015-09-29,148.08533
2015-09-30,147.09172
2015-10-01,146.72862
2015-10-02,145.93709
2015-10-05,147.00955
2015-10-06,147.86533
2015-10-07,149.11617
2015-10-08,152.72978
2015-10-09,151.3874
2015-10-12,152.97356
2015-10-13,160.19215
2015-10-14,163.86229
2015-10-15,163.29913
2015-10-16,163.34334
2015-10-19,162.61256
2015-10-20,159.83469
2015-10-21,155.99883
2015-10-22,155.11168
2015-10-23,155.08862
2015-10-26,155.13802
2015-10-27,154.63243
2015-10-28,153.65366
2015-10-29,153.36575
2015-10-30,154.77663
2015-11-02,155.80475
2015-11-03,157.13214
2015-11-04,156.32887
2015-11-05,156.88777
2015-11-06,159.96854
2015-11-09,162.10484
2015-11-10,161.49367
2015-11-11,161.045
2015-11-12,160.63078
2015-11-13,159.22664
2015-11-16,157.93758
2015-11-17,157.16982
2015-11-18,156.80118
2015-11-19,156.21593
2015-11-20,156.15863
2015-11-23,155.01189
2015-11-24,154.40619
2015-11-25,153.94243
2015-11-26,153.26132
2015-11-27,152.37175
2015-11-30,151.97989
2015-12-01,149.95662
2015-12-02,145.5431
2015-12-03,144.1692
2015-12-04,144.12872
2015-12-07,142.68909
2015-12-08,141.7683
2015-12-09,140.04527
2015-12-10,137.49875
2015-12-11,136.93161
2015-12-14,135.49841
2015-12-15,135.10686
2015-12-16,135.06837
2015-12-17,133.7118
2015-12-18,133.25238
2015-12-21,133.97627
2015-12-22,133.87315
2015-12-23,133.4919
2015-12-24,133.29485
2015-12-25,132.37254
2015-12-28,132.47758
2015-12-29,132.95692
2015-12-30,133.13557
2015-12-31,132.51724
2016-01-01,132.40718
2016-01-04,131.71445
2016-01-05,132.09332
2016-01-06,131.47461
2016-01-07,131.45616
2016-01-08,128.4051
2016-01-11,127.11739
2016-01-12,123.87978
2016-01-13,116.91778
2016-01-14,111.894905
2016-01-15,108.848976
2016-01-18,103.56839
2016-01-19,102.41377
2016-01-20,98.98724
2016-01-21,95.199135
2016-01-22,96.43258
2016-01-25,99.10995
2016-01-26,102.34274
2016-01-27,101.03247
2016-01-28,101.63779
2016-01-29,102.53753
2016-02-01,104.40234
2016-02-02,105.320404
2016-02-03,105.11177
2016-02-04,105.005424
2016-02-05,105.05939
2016-02-08,108.05271
2016-02-09,109.85082
2016-02-10,110.61602
2016-02-11,111.87595
2016-02-12,111.77918
2016-02-15,112.378944
2016-02-16,117.6244
2016-02-17,120.107
2016-02-18,119.683304
2016-02-19,120.200905
2016-02-22,119.99108
2016-02-23,118.44961
2016-02-24,118.47242
2016-02-25,120.826294
2016-02-26,121.766014
2016-02-29,123.2657
2016-03-01,122.81217
2016-03-02,123.95508
2016-03-03,127.77061
2016-03-04,129.13799
2016-03-07,130.17456
2016-03-08,133.1712
2016-03-09,132.90198
2016-03-10,133.46953
2016-03-11,135.61995
2016-03-14,136.27763
2016-03-15,135.26883
2016-03-16,131.98653
2016-03-17,132.60448
2016-03-18,131.44731
2016-03-21,134.6715
2016-03-22,136.30832
2016-03-23,137.01428
2016-03-24,137.99147
2016-03-25,137.27264
2016-03-28,136.10306
2016-03-29,135.66803
2016-03-30,135.70717
2016-03-31,135.88242
2016-04-01,135.9376
2016-04-04,135.85179
2016-04-05,135.26512
2016-04-06,135.54207
2016-04-07,135.3174
