Date,Predicted Price
2014-12-30,0.4374727
2014-12-31,0.43152642
2015-01-01,0.43399978
2015-01-02,0.4394005
2015-01-05,0.45144126
2015-01-06,0.4609029
2015-01-07,0.47910637
2015-01-08,0.48574314
2015-01-09,0.49513486
2015-01-12,0.4963521
2015-01-13,0.4951059
2015-01-14,0.49184236
2015-01-15,0.49248028
2015-01-16,0.48790345
2015-01-19,0.49002162
2015-01-20,0.49285668
2015-01-21,0.49557596
2015-01-22,0.495343
2015-01-23,0.49669233
2015-01-26,0.48976195
2015-01-27,0.48953763
2015-01-28,0.49070606
2015-01-29,0.4945831
2015-01-30,0.5016562
2015-02-02,0.5210154
2015-02-03,0.5323036
2015-02-04,0.55451155
2015-02-05,0.5661917
2015-02-06,0.5709437
2015-02-09,0.576319
2015-02-10,0.57695925
2015-02-11,0.5652748
2015-02-12,0.5577793
2015-02-13,0.5509646
2015-02-16,0.53840154
2015-02-17,0.5278579
2015-02-18,0.52076524
2015-02-19,0.5094935
2015-02-20,0.5081529
2015-02-23,0.50437343
2015-02-24,0.49921745
2015-02-25,0.49247456
2015-02-26,0.489189
2015-02-27,0.4791924
2015-03-02,0.47796997
2015-03-03,0.4714386
2015-03-04,0.46960083
2015-03-05,0.47169662
2015-03-06,0.48300365
2015-03-09,0.4886023
2015-03-10,0.50133187
2015-03-11,0.50235295
2015-03-12,0.50152296
2015-03-13,0.50064534
2015-03-16,0.50647694
2015-03-17,0.50479084
2015-03-18,0.510905
2015-03-19,0.50583637
2015-03-20,0.4987888
2015-03-23,0.4941195
2015-03-24,0.49634045
2015-03-25,0.48926613
2015-03-26,0.49014995
2015-03-27,0.4827263
2015-03-30,0.46795404
2015-03-31,0.4475283
2015-04-01,0.43748653
2015-04-02,0.4348939
2015-04-03,0.44771314
2015-04-06,0.46646807
2015-04-07,0.4884771
2015-04-08,0.49888834
2015-04-09,0.5080927
2015-04-10,0.5067872
2015-04-13,0.5116556
2015-04-14,0.51212966
2015-04-15,0.51026154
2015-04-16,0.50701916
2015-04-17,0.50586987
2015-04-20,0.5016629
2015-04-21,0.5035782
2015-04-22,0.500692
2015-04-23,0.49768725
2015-04-24,0.49260333
2015-04-27,0.48821995
2015-04-28,0.48063523
2015-04-29,0.47975406
2015-04-30,0.47530994
2015-05-01,0.47383896
2015-05-04,0.4716112
2015-05-05,0.47491422
2015-05-06,0.47131425
2015-05-07,0.47437248
2015-05-08,0.4726726
2015-05-11,0.4703593
2015-05-12,0.46142983
2015-05-13,0.46176136
2015-05-14,0.45768192
2015-05-15,0.46042797
2015-05-18,0.45992944
2015-05-19,0.45969436
2015-05-20,0.45215112
2015-05-21,0.45123166
2015-05-22,0.44854406
2015-05-25,0.45321396
2015-05-26,0.46061525
2015-05-27,0.46716437
2015-05-28,0.47348252
2015-05-29,0.4851025
2015-06-01,0.48669192
2015-06-02,0.4925156
2015-06-03,0.49505952
2015-06-04,0.4945886
2015-06-05,0.4967482
2015-06-08,0.50567776
2015-06-09,0.5117368
2015-06-10,0.5340996
2015-06-11,0.5513693
2015-06-12,0.5600378
2015-06-15,0.5680298
2015-06-16,0.56975365
2015-06-17,0.5598521
2015-06-18,0.55585754
2015-06-19,0.5553827
2015-06-22,0.5503227
2015-06-23,0.5478267
2015-06-24,0.5463828
2015-06-25,0.5401242
2015-06-26,0.54026806
2015-06-29,0.54258096
2015-06-30,0.5437299
2015-07-01,0.54989344
2015-07-02,0.5592735
2015-07-03,0.5622743
2015-07-06,0.57537633
2015-07-07,0.58443975
2015-07-08,0.59280264
2015-07-09,0.6046518
2015-07-10,0.6092577
2015-07-13,0.6002637
2015-07-14,0.6020042
2015-07-15,0.605623
2015-07-16,0.60621625
2015-07-17,0.6142896
2015-07-20,0.6180911
2015-07-21,0.60952437
2015-07-22,0.60801446
2015-07-23,0.6074084
2015-07-24,0.6000555
2015-07-27,0.601638
2015-07-28,0.5980953
2015-07-29,0.5877362
2015-07-30,0.586372
2015-07-31,0.5860356
2015-08-03,0.58019686
