,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,110.5167,113.9151,106.027,113.5698,21300,103.85502
3651,2014-12-31,114.6611,119.2476,111.9051,117.3204,11900,107.39457
3652,2015-01-01,117.424,117.424,117.424,117.3204,100,111.79346
3653,2015-01-02,117.424,117.424,117.424,117.3204,100,109.03258
3654,2015-01-05,122.2592,122.2592,117.424,117.424,800,114.45937
3655,2015-01-06,113.9704,117.424,113.9704,116.7333,500,115.359726
3656,2015-01-07,116.7333,116.7333,113.9704,113.9842,700,117.89983
3657,2015-01-08,116.7333,116.7333,113.9704,113.9842,700,116.67917
3658,2015-01-09,110.5513,113.2797,110.5167,112.5889,2600,114.75357
3659,2015-01-12,110.6618,115.3519,110.5167,114.6542,1800,109.60903
3660,2015-01-13,111.8982,111.8982,111.2075,111.5528,200,114.048355
3661,2015-01-14,112.2436,117.127,112.2436,117.127,12300,111.877174
3662,2015-01-15,118.8055,120.8777,115.6281,117.424,13200,114.83256
3663,2015-01-16,117.355,122.9499,117.355,121.0158,54100,115.88688
3664,2015-01-19,123.2814,126.2308,122.4318,122.4595,31300,117.50001
3665,2015-01-20,120.8777,124.4971,120.8777,121.603,6600,113.67487
3666,2015-01-21,123.6406,125.7128,121.5684,121.8516,9000,119.54341
3667,2015-01-22,121.9138,121.5684,121.5684,121.5684,7300,119.62525
3668,2015-01-23,121.9138,121.5684,121.5684,121.5684,7300,122.53031
3669,2015-01-26,120.8708,127.6468,117.7694,126.4035,30500,122.39029
3670,2015-01-27,126.7489,127.785,122.2592,126.148,6300,122.68179
3671,2015-01-28,127.1633,132.4543,127.0943,131.1903,54100,118.52235
3672,2015-01-29,129.1664,135.3761,129.1664,134.6854,25200,124.86271
3673,2015-01-30,134.6923,134.6923,131.9294,132.3922,3000,127.20053
3674,2015-02-02,136.0737,136.0737,129.7743,134.3469,6400,131.75922
3675,2015-02-03,134.6508,134.6508,132.9655,132.9655,1300,132.3847
3676,2015-02-04,132.9655,133.3108,131.9294,131.9294,7600,132.49524
3677,2015-02-05,132.9655,133.3108,131.9294,131.9294,7600,127.46102
3678,2015-02-06,131.9294,133.3108,129.8572,131.1834,4400,132.11218
3679,2015-02-09,133.9946,133.9946,125.5125,126.521,4000,130.45937
3680,2015-02-10,127.0943,130.8933,124.3313,130.7206,2900,131.1837
3681,2015-02-11,127.0943,130.8933,124.3313,130.7206,2900,130.68965
3682,2015-02-12,131.2386,131.2386,124.2277,129.1664,400,129.19962
3683,2015-02-13,129.8572,130.4443,124.3313,126.369,500,124.34724
3684,2015-02-16,120.187,120.8777,120.0557,120.1939,7500,128.18808
3685,2015-02-17,117.424,122.9153,117.424,119.7173,3000,124.9521
3686,2015-02-18,118.8055,120.8708,118.1148,118.1148,5300,124.80541
3687,2015-02-19,120.8777,120.8777,120.8777,120.8777,4100,122.52286
3688,2015-02-20,120.8777,120.8777,120.8777,120.8777,4100,119.57958
3689,2015-02-23,120.8777,121.0504,120.8777,121.0504,2800,114.668495
3690,2015-02-24,126.4035,126.4035,122.6045,123.9031,3200,119.735886
3691,2015-02-25,128.4757,128.4757,122.2661,125.3743,300,119.773865
3692,2015-02-26,122.9499,128.0544,122.9499,122.9499,1100,123.53719
3693,2015-02-27,116.8024,117.424,116.8024,117.0787,600,123.61943
3694,2015-03-02,114.6611,116.312,111.8982,112.6373,1600,121.01402
3695,2015-03-03,110.5513,116.0357,110.5167,110.5167,1700,115.09658
3696,2015-03-04,116.0426,116.0426,111.2075,111.8982,3200,117.373024
3697,2015-03-05,116.0426,116.0426,111.2075,111.8982,3200,112.82186
3698,2015-03-06,116.0426,116.0426,111.2075,111.8982,3200,112.70748
3699,2015-03-09,116.0426,116.0426,111.2075,111.8982,3200,112.45983
3700,2015-03-10,108.4446,115.6972,106.5105,115.6972,1100,111.574
3701,2015-03-11,108.4446,115.6972,106.5105,115.6972,1100,107.85117
3702,2015-03-12,108.4446,115.6972,106.5105,115.6972,1100,113.10157
3703,2015-03-13,108.4446,115.6972,106.5105,115.6972,1100,113.252945
3704,2015-03-16,113.9704,113.9704,113.9704,113.9704,5000,116.14148
3705,2015-03-17,113.9704,113.9704,113.9704,113.9704,5000,115.70154
3706,2015-03-18,112.5889,112.5889,109.826,109.826,2000,114.28768
3707,2015-03-19,112.5889,112.5889,109.826,109.826,2000,108.97895
3708,2015-03-20,112.5889,112.5889,109.826,109.826,2000,112.358025
3709,2015-03-23,112.5889,112.5889,109.826,109.826,2000,109.750114
3710,2015-03-24,112.5889,112.5889,109.826,109.826,2000,110.744774
3711,2015-03-25,109.826,109.826,109.826,109.826,150000,110.351746
3712,2015-03-26,106.3724,106.3724,104.3347,104.3347,79100,109.62463
3713,2015-03-27,106.3724,106.3724,104.3347,104.3347,79100,104.609795
3714,2015-03-30,100.1558,100.1558,100.1558,100.1558,1400,107.38373
3715,2015-03-31,100.1558,105.1636,96.7022,105.1636,4600,103.69238
3716,2015-04-01,107.0631,107.0631,107.0631,107.0631,2000,104.57967
3717,2015-04-02,107.0631,107.0631,107.0631,107.0631,2000,105.34476
3718,2015-04-03,107.0631,107.0631,107.0631,107.0631,2000,105.73378
3719,2015-04-06,102.759,107.0631,101.7099,107.0631,11400,101.81785
3720,2015-04-07,105.626,105.626,105.626,105.626,2100,106.4286
3721,2015-04-08,107.7816,110.6486,107.7816,107.7816,3200,105.513596
3722,2015-04-09,107.7816,110.6486,107.7816,107.7816,3200,107.57163
3723,2015-04-10,107.7816,110.6486,107.7816,107.7816,3200,107.7968
3724,2015-04-13,107.7816,107.7816,107.7816,107.7816,1000,107.39243
3725,2015-04-14,112.0929,113.0989,111.3744,111.3744,2600,103.16354
3726,2015-04-15,112.0929,113.0989,111.3744,111.3744,2600,108.189064
3727,2015-04-16,111.4462,111.3744,110.548,111.3744,2700,108.32495
3728,2015-04-17,111.3744,111.3744,107.7816,107.7816,700,111.07756
3729,2015-04-20,107.7888,112.0929,107.7816,108.5002,7700,110.00924
3730,2015-04-21,109.9373,111.3744,107.7816,111.3744,5600,109.14178
3731,2015-04-22,115.6784,115.6784,111.3744,111.3744,100,104.92054
3732,2015-04-23,114.2414,114.9671,114.2414,114.9671,1500,109.82049
3733,2015-04-24,119.9969,119.9969,114.9671,115.9659,2000,110.09971
3734,2015-04-27,121.7573,121.7573,117.1371,121.7573,3600,113.88895
3735,2015-04-28,125.7453,125.7453,122.1525,122.8064,5700,116.77644
3736,2015-04-29,122.6555,128.9428,124.5237,128.9428,24000,119.232475
3737,2015-04-30,135.3881,135.3881,135.0863,135.3881,70600,116.71865
3738,2015-05-01,135.3881,135.3881,135.0863,135.3881,70600,124.45217
3739,2015-05-04,141.467,141.4814,135.8049,136.4013,1600,128.50272
3740,2015-05-05,130.0565,137.9605,129.5823,134.5402,2600,134.33556
3741,2015-05-06,132.9307,135.0145,132.2122,135.0145,5000,134.60477
3742,2015-05-07,132.9307,135.0145,132.2122,135.0145,5000,134.35881
3743,2015-05-08,136.8132,136.8132,133.8948,133.8948,100,129.02086
3744,2015-05-11,127.2127,131.4675,127.2127,131.4675,1100,134.37831
3745,2015-05-12,133.6419,138.0341,133.6419,137.9907,10300,131.9301
3746,2015-05-13,141.58100000000002,141.5882,135.8091,140.8153,700,135.54468
3747,2015-05-14,140.5046,140.5046,137.2539,138.8793,200,137.74208
3748,2015-05-15,133.6419,138.8793,133.6419,138.8793,1700,137.45566
3749,2015-05-18,133.6419,133.6419,132.9268,133.1074,400,132.4732
3750,2015-05-19,130.0444,135.8019,130.0444,131.4748,2200,137.30437
3751,2015-05-20,131.4748,133.6419,130.03,131.836,500,134.00877
3752,2015-05-21,130.7524,132.1972,130.7524,131.5326,3300,134.85243
3753,2015-05-22,130.7524,132.1972,130.7524,131.5326,3300,133.92545
3754,2015-05-25,131.1858,131.4748,126.7937,131.0413,1700,130.91258
3755,2015-05-26,127.1477,130.7524,126.4181,127.1549,4700,125.66386
3756,2015-05-27,130.0228,131.4748,127.1404,127.1404,1300,130.10875
3757,2015-05-28,127.1404,127.8628,127.1404,127.3355,1700,127.543686
3758,2015-05-29,130.03,132.9195,130.03,130.2106,2100,129.05367
3759,2015-06-01,130.03,130.2106,130.03,130.2106,100,129.66998
3760,2015-06-02,135.8091,136.7193,134.0031,135.0867,8800,128.46414
3761,2015-06-03,137.2467,140.3529,136.5315,137.2539,10900,124.61857
3762,2015-06-04,138.80700000000002,138.7565,138.6987,138.7565,2000,131.43826
3763,2015-06-05,145.1929,145.6914,140.8658,145.2363,3700,133.32349
3764,2015-06-08,151.5572,152.4963,144.4778,151.391,23800,139.65486
3765,2015-06-09,150.6181,150.6181,145.2146,149.5345,7400,144.03864
3766,2015-06-10,148.0536,149.5345,148.0536,149.5345,38700,146.43042
3767,2015-06-11,147.3673,147.7285,147.3673,147.5479,200,141.77228
3768,2015-06-12,146.6449,150.9793,145.9225,150.9793,274000,147.7863
3769,2015-06-15,157.3363,157.3363,148.162,149.9318,300,147.50667
3770,2015-06-16,147.3673,146.291,144.4778,145.3808,400,150.39375
3771,2015-06-17,145.453,145.453,144.4705,144.4778,500,148.96292
3772,2015-06-18,145.453,145.453,144.4705,144.4778,500,145.42456
3773,2015-06-19,145.453,145.453,144.4705,144.4778,500,139.36063
3774,2015-06-22,149.5345,149.5345,139.6016,144.4778,6100,144.97769
3775,2015-06-23,140.8658,140.8658,140.8658,140.8658,300,142.5214
3776,2015-06-24,144.4778,146.6449,140.8731,142.6718,1600,144.3988
3777,2015-06-25,142.3106,144.4778,142.3106,144.4778,1300,143.57028
3778,2015-06-26,142.3106,144.4778,142.3106,144.4778,1300,142.03041
3779,2015-06-29,137.2539,144.4778,137.2539,142.6718,500,136.88199
3780,2015-06-30,137.2539,144.4778,137.2539,142.6718,500,142.30153
3781,2015-07-01,137.2539,144.4778,137.2539,142.6718,500,141.25029
3782,2015-07-02,137.2539,144.4778,137.2539,142.6718,500,144.02625
3783,2015-07-03,137.2539,144.4778,137.2539,142.6718,500,143.74602
3784,2015-07-06,137.2539,144.4778,137.2539,142.6718,500,141.57805
3785,2015-07-07,144.4778,144.4778,139.6016,143.033,1600,136.17633
3786,2015-07-08,140.8658,144.2611,140.8658,144.2611,1000,141.99625
3787,2015-07-09,144.4778,145.2002,145.2002,145.2002,1700,141.11865
3788,2015-07-10,140.8658,144.4778,140.8658,144.4778,2800,144.65988
3789,2015-07-13,148.0897,148.0897,144.4778,144.4778,100,144.6727
3790,2015-07-14,144.4778,144.4778,144.4778,144.4778,100,143.39758
3791,2015-07-15,145.9225,145.9225,144.4778,144.4778,100,137.93684
3792,2015-07-16,147.3673,147.3673,141.5882,147.3673,1900,143.84972
3793,2015-07-17,147.3673,147.3673,141.5882,147.3673,1900,143.12999
3794,2015-07-20,147.3673,147.3673,141.5882,147.3673,1900,146.78038
3795,2015-07-21,147.3673,147.3673,141.5882,147.3673,1900,147.03494
3796,2015-07-22,148.8121,148.8121,148.8121,148.8121,300,145.98996
3797,2015-07-23,148.8121,148.8121,142.3106,145.6336,8100,140.7605
3798,2015-07-24,145.9225,148.0897,144.4778,144.4778,20000,146.52322
3799,2015-07-27,144.4778,145.2002,143.033,144.5645,69500,144.38327
3800,2015-07-28,140.8658,144.5645,140.8658,144.5645,100,146.74901
3801,2015-07-29,144.4778,144.4778,143.0402,144.4778,17700,146.31737
3802,2015-07-30,144.4778,147.3673,144.4778,144.4778,26300,143.42838
3803,2015-07-31,144.55,144.4778,144.4778,144.4778,6000,137.90752
3804,2015-08-03,144.55,144.4778,144.4778,144.4778,6000,143.73741
3805,2015-08-04,144.4778,144.4778,144.4778,144.4778,800,142.40123
3806,2015-08-05,146.6449,150.2569,146.6449,149.5345,1300,145.35677
3807,2015-08-06,146.6449,150.2569,146.6449,149.5345,1300,146.68231
3808,2015-08-07,156.7584,157.0112,156.7584,157.0112,3200,146.50171
3809,2015-08-10,156.7584,157.0112,156.7584,157.0112,3200,142.65247
3810,2015-08-11,156.7584,156.7584,156.7584,156.7584,200,150.64793
3811,2015-08-12,156.7584,156.7584,156.7584,156.7584,200,152.49792
3812,2015-08-13,156.036,156.7584,156.036,156.7584,100,157.3745
3813,2015-08-14,156.036,156.7584,156.036,156.7584,100,157.38434
3814,2015-08-17,156.036,156.7584,156.036,156.7584,100,155.23236
3815,2015-08-18,161.8151,164.5963,161.8151,162.812,900,149.34435
3816,2015-08-19,170.4838,170.4838,164.7047,164.7047,2600,156.9071
3817,2015-08-20,169.7253,169.7253,169.7253,169.7253,300,157.76309
3818,2015-08-21,178.2061,178.2061,176.9853,177.5993,300,164.43204
3819,2015-08-24,168.7211,168.7211,168.7211,168.7211,700,168.59538
3820,2015-08-25,176.9853,176.9853,172.6437,172.6509,400,169.01315
3821,2015-08-26,173.3733,179.8748,173.3733,176.2629,6500,164.4131
3822,2015-08-27,173.3733,179.8748,173.3733,176.2629,6500,171.5854
3823,2015-08-28,184.9677,185.076,180.9584,180.9584,3700,171.78798
3824,2015-08-31,181.3196,187.8211,173.0049,182.042,6200,177.3875
3825,2015-09-01,180.5972,184.2092,180.5972,182.4176,9100,178.74127
3826,2015-09-02,180.5972,183.4868,179.8748,180.5972,3800,178.89647
3827,2015-09-03,180.5972,184.2092,180.5972,184.2092,7000,172.10672
3828,2015-09-04,180.5972,180.5972,179.8748,180.5972,6100,180.51595
3829,2015-09-07,174.8181,174.8181,174.8181,174.8181,300,178.80843
3830,2015-09-08,166.1494,180.5972,166.1133,176.9853,3100,181.14507
3831,2015-09-09,166.1494,180.5972,166.1133,176.9853,3100,178.51082
3832,2015-09-10,166.1494,180.5972,166.1133,176.9853,3100,174.97006
3833,2015-09-11,166.1494,180.5972,166.1133,176.9853,3100,168.09314
3834,2015-09-14,166.1494,180.5972,166.1133,176.9853,3100,175.16486
3835,2015-09-15,184.2388,184.2388,180.612,182.4254,200,174.04161
3836,2015-09-16,184.2388,184.2388,180.612,182.4254,200,179.50874
3837,2015-09-17,184.2388,184.2388,180.612,182.4254,200,180.58926
3838,2015-09-18,173.3077,181.3301,173.3077,177.3189,200,179.4191
3839,2015-09-21,175.5346,177.3189,175.5346,177.3189,100,172.3115
3840,2015-09-22,182.0627,182.0627,182.0627,182.0627,100,178.89012
3841,2015-09-23,179.8867,182.0627,179.8867,182.0627,2000,176.94148
3842,2015-09-24,179.8867,182.0627,179.8867,182.0627,2000,180.95787
3843,2015-09-25,179.8867,182.0627,179.8867,182.0627,2000,180.95726
3844,2015-09-28,175.5346,175.5346,175.5346,175.5346,200,179.50438
3845,2015-09-29,175.5346,175.5346,175.5346,175.5346,200,172.40482
3846,2015-09-30,175.5346,175.5346,175.5346,175.5346,200,177.9663
3847,2015-10-01,176.9853,176.9853,175.5346,175.5346,100,174.36736
3848,2015-10-02,169.0064,176.6226,169.0064,175.5346,700,176.87299
3849,2015-10-05,166.7651,166.8304,166.7578,166.8304,1200,175.9855
3850,2015-10-06,163.2036,164.6543,163.2036,163.929,200,170.4233
3851,2015-10-07,163.2036,164.6543,163.2036,163.929,200,163.35707
3852,2015-10-08,161.7602,161.7529,161.7529,161.7529,800,167.83469
3853,2015-10-09,162.4783,161.898,161.7529,161.898,500,162.83374
3854,2015-10-12,160.3022,159.6494,159.6494,159.6494,2000,164.03194
3855,2015-10-13,159.5769,166.8231,159.5769,159.9468,600,162.31758
3856,2015-10-14,159.5769,166.8231,159.5769,159.9468,600,158.96005
3857,2015-10-15,159.5769,166.8231,159.5769,159.9468,600,152.6395
3858,2015-10-16,159.5769,166.8231,159.5769,159.9468,600,159.23619
3859,2015-10-19,159.5769,166.8231,159.5769,159.9468,600,157.41222
3860,2015-10-20,159.5769,166.8231,159.5769,159.9468,600,160.92113
3861,2015-10-21,159.5769,160.3022,159.5769,160.1209,300,160.47964
3862,2015-10-22,159.5769,160.3022,159.5769,160.1209,300,158.365
3863,2015-10-23,159.5769,160.3022,159.5769,160.1209,300,152.37883
3864,2015-10-26,159.5769,160.3022,159.5769,160.1209,300,158.99892
3865,2015-10-27,159.5769,160.3022,159.5769,160.1209,300,157.5995
3866,2015-10-28,159.5769,160.3022,159.5769,160.1209,300,161.09633
3867,2015-10-29,160.3022,160.3022,160.3022,160.3022,1200,160.65295
3868,2015-10-30,158.6702,158.6702,158.6702,158.6702,1000,158.5359
3869,2015-11-02,158.0536,158.1262,158.0536,158.1262,4900,152.38068
3870,2015-11-03,153.7741,153.7741,152.3234,153.7741,3500,158.4195
3871,2015-11-04,153.7741,153.7741,152.3234,153.7741,3500,155.24669
3872,2015-11-05,152.3234,155.9501,152.3234,155.8776,2400,157.17297
3873,2015-11-06,152.3234,155.9501,152.3234,155.8776,2400,156.52736
3874,2015-11-09,155.9501,155.9501,155.8776,155.8776,500,153.85974
3875,2015-11-10,155.9501,155.9501,155.8776,155.8776,500,148.0751
3876,2015-11-11,152.3234,152.3234,150.1473,150.1473,2100,154.4777
3877,2015-11-12,153.7741,153.7741,150.1473,150.1473,100,152.02213
3878,2015-11-13,153.0487,154.4994,153.0487,154.4994,700,154.0035
3879,2015-11-16,153.0487,154.4994,153.0487,154.4994,700,153.90388
3880,2015-11-17,159.6008,160.3296,158.1433,159.9652,1900,151.83029
3881,2015-11-18,159.6008,160.3296,158.1433,159.9652,1900,147.06175
3882,2015-11-19,157.4145,158.1433,154.8638,154.8638,700,154.85976
3883,2015-11-20,157.4145,158.1433,154.8638,154.8638,700,154.68323
3884,2015-11-23,156.6857,156.6857,154.8638,154.8638,100,158.10115
3885,2015-11-24,156.6857,156.6857,154.8638,154.8638,100,157.01138
3886,2015-11-25,156.6857,156.6857,155.2282,155.2282,300,153.62674
3887,2015-11-26,156.6857,156.6857,155.2282,155.2282,300,147.6212
