,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,159.1483,161.8061,157.2534,158.9268,349000,167.26047
3651,2014-12-31,158.4838,164.8822,158.4838,162.569,676500,164.16025
3652,2015-01-01,163.1596,166.0307,162.5854,163.1432,227900,167.21011
3653,2015-01-02,164.87400000000002,165.7025,159.6733,160.3049,345700,163.92345
3654,2015-01-05,160.7807,161.5928,156.6955,157.3108,396500,166.87239
3655,2015-01-06,156.6791,157.2944,149.8788,151.142,765400,170.4199
3656,2015-01-07,150.937,155.8506,147.705,151.4456,796300,162.12952
3657,2015-01-08,151.5932,153.685,151.101,152.2987,506400,157.51054
3658,2015-01-09,153.3569,153.8901,144.6862,147.1718,461600,158.55048
3659,2015-01-12,147.6557,149.2964,145.1948,146.0151,366400,152.39355
3660,2015-01-13,145.3589,153.3159,145.2522,153.3159,1127000,154.83525
3661,2015-01-14,155.7604,159.3451,154.3002,155.3666,1505000,158.86893
3662,2015-01-15,155.8588,159.3451,154.3823,155.785,1328900,155.8693
3663,2015-01-16,156.0229,158.3034,153.4061,154.0131,361500,156.38927
3664,2015-01-19,155.4323,157.8686,154.0541,154.4561,544500,159.33167
3665,2015-01-20,155.0385,155.0385,150.1331,150.7893,491100,156.6524
3666,2015-01-21,150.1577,154.5463,150.1577,151.8803,785200,159.69884
3667,2015-01-22,152.5858,153.8081,147.6557,148.3202,464200,162.99391
3668,2015-01-23,148.476,149.9936,146.8518,147.0159,250400,155.34903
3669,2015-01-26,148.476,149.887,146.0233,147.5081,532400,152.20175
3670,2015-01-27,148.23,153.7999,147.6557,151.2651,1520900,153.52148
3671,2015-01-28,150.937,152.151,148.0741,148.4268,339800,151.16025
3672,2015-01-29,148.476,149.6327,146.0151,146.171,231300,153.86076
3673,2015-01-30,147.1882,149.8706,146.7534,147.0405,457000,156.85173
3674,2015-02-02,147.8608,148.8862,145.6132,146.335,209800,150.83638
3675,2015-02-03,147.4014,147.4014,143.062,143.6608,425000,150.0509
3676,2015-02-04,143.3901,150.8385,143.3901,150.8385,884400,150.2448
3677,2015-02-05,143.3901,150.8385,143.3901,150.8385,884400,149.30067
3678,2015-02-06,154.9565,158.3772,154.3413,158.3772,537800,153.02019
3679,2015-02-09,164.0619,166.1947,159.1401,159.7061,1734800,158.0177
3680,2015-02-10,160.3705,163.2416,158.3198,159.2303,779800,154.876
3681,2015-02-11,161.1908,167.1873,160.4115,166.6131,1991600,160.62296
3682,2015-02-12,167.3514,174.9392,167.3432,174.9392,2923600,167.83228
3683,2015-02-13,178.8275,181.1654,168.9838,172.5931,1732800,169.5352
3684,2015-02-16,173.4955,173.7006,166.6951,168.1307,560000,172.742
3685,2015-02-17,168.1471,176.5306,168.0404,175.8744,1782600,178.1717
3686,2015-02-18,179.2295,179.6478,171.8631,172.9541,1197600,174.1838
3687,2015-02-19,173.7416,177.1048,171.1166,175.3166,889400,176.02458
3688,2015-02-20,175.5463,177.1869,171.4447,173.0115,842300,179.95483
3689,2015-02-23,173.9056,176.7931,171.0346,175.4724,842900,175.9047
3690,2015-02-24,176.7767,179.6478,173.2986,174.1599,1255000,181.88042
3691,2015-02-25,175.333,176.7767,173.0853,173.7334,842100,185.2403
3692,2015-02-26,173.9056,175.5052,169.8123,171.3463,886700,178.53915
3693,2015-02-27,171.4365,171.4447,162.7822,164.5787,803900,176.29187
3694,2015-03-02,165.5303,165.6205,156.6791,158.1475,699700,175.44046
3695,2015-03-03,158.3198,166.0471,157.0893,164.1276,782700,166.80756
3696,2015-03-04,167.9174,172.3306,167.1791,171.0182,1770600,173.98485
3697,2015-03-05,170.6408,172.9951,167.4416,168.8443,1185000,176.63782
3698,2015-03-06,169.59900000000002,171.4365,164.5541,165.5303,670700,170.11841
3699,2015-03-09,166.2768,169.59900000000002,163.9225,165.4647,988300,170.08775
3700,2015-03-10,166.5229,167.9174,165.2924,166.24400000000003,886300,172.89401
3701,2015-03-11,164.7182,166.3752,161.601,163.4385,771100,168.49002
3702,2015-03-12,164.0619,166.0717,162.4213,165.2022,550100,172.98643
3703,2015-03-13,166.933,167.9994,165.7025,166.0799,589600,175.62714
3704,2015-03-16,166.1127,166.4326,159.9604,160.469,504300,169.18451
3705,2015-03-17,160.7807,161.601,157.9916,160.026,596800,166.53252
3706,2015-03-18,159.9604,160.5346,152.028,153.4225,502300,167.71562
3707,2015-03-19,151.7573,154.9401,150.1167,152.7499,346600,160.53374
3708,2015-03-20,153.3979,159.9604,153.3979,158.4674,430400,165.90157
3709,2015-03-23,153.3979,159.9604,153.3979,158.4674,430400,166.8782
3710,2015-03-24,161.601,161.601,153.3979,154.5217,440600,161.91385
3711,2015-03-25,155.8506,155.8588,153.3979,154.5463,220100,158.94609
3712,2015-03-26,155.4487,156.269,147.2866,151.9542,453800,161.03586
3713,2015-03-27,151.7573,156.8842,150.1167,150.8467,404700,156.19395
3714,2015-03-30,148.7057,148.8452,143.3081,143.3081,251100,160.50609
3715,2015-03-31,139.4444,150.4694,139.4444,150.4694,321500,160.84644
3716,2015-04-01,150.9288,157.0893,147.7788,154.8498,567000,154.60732
3717,2015-04-02,155.6538,159.5502,155.0795,158.3526,493800,154.04826
3718,2015-04-03,161.1908,166.2686,159.4272,166.2686,958400,159.05714
3719,2015-04-06,167.2611,174.5783,167.2611,174.5783,853400,161.33574
3720,2015-04-07,176.7767,180.0169,170.4603,172.74900000000002,1399400,166.01003
3721,2015-04-08,173.8236,173.9056,167.7533,169.5662,473200,174.27698
3722,2015-04-09,169.68099999999998,174.6275,168.6967,169.4596,707600,169.3935
3723,2015-04-10,170.0092,172.6752,168.5736,168.9592,682000,173.92844
3724,2015-04-13,172.0599,177.4002,169.4924,177.4002,1558000,176.37704
3725,2015-04-14,178.9095,180.9603,169.517,171.7318,1437200,174.62794
3726,2015-04-15,173.0853,177.5888,172.265,176.2353,1143200,178.13818
3727,2015-04-16,177.6791,178.8193,174.4799,175.1853,697800,183.40884
3728,2015-04-17,174.0697,180.4681,173.9877,179.4181,1010400,176.3985
3729,2015-04-20,180.058,187.4408,176.9408,183.413,1977800,179.83232
3730,2015-04-21,183.2572,184.9798,176.8177,179.574,877200,186.86693
3731,2015-04-22,179.9923,185.8001,177.6381,182.6912,1185700,182.32808
3732,2015-04-23,183.6673,185.8001,180.4681,181.1736,1003100,186.2379
3733,2015-04-24,182.4369,189.8196,181.3294,189.0239,2047600,192.93436
3734,2015-04-27,191.7884,193.8392,190.3118,192.2888,1846900,188.38998
3735,2015-04-28,192.3626,192.6087,186.2513,187.3095,728300,190.52327
3736,2015-04-29,187.2357,191.1239,186.2185,188.4333,703100,194.35791
3737,2015-04-30,192.7646,197.8505,192.3626,197.8505,1878500,190.70146
3738,2015-05-01,192.7646,197.8505,192.3626,197.8505,1878500,198.44527
3739,2015-05-04,200.2376,204.4212,198.0966,199.7536,2110800,205.63579
3740,2015-05-05,200.1556,207.1364,199.3516,204.3801,2043800,197.64548
3741,2015-05-06,207.5301,210.8196,206.7098,207.1036,1330100,203.6024
3742,2015-05-07,207.4481,208.3504,203.445,204.3145,870500,212.09108
3743,2015-05-08,204.3391,214.0926,201.7962,211.5414,2464200,206.71985
3744,2015-05-11,209.9993,214.1008,200.9841,202.4196,2448100,213.10518
3745,2015-05-12,201.427,208.3586,200.1556,205.0774,1487700,220.50249
3746,2015-05-13,207.1282,207.9485,201.386,202.0177,931900,210.63669
3747,2015-05-14,202.8216,208.5637,192.7728,195.5044,4105000,207.63571
3748,2015-05-15,191.9525,191.9525,185.7345,186.0298,2491300,206.91316
3749,2015-05-18,184.5697,186.2103,178.9341,180.1482,1089800,196.58186
3750,2015-05-19,181.6986,184.1595,178.0154,179.2705,921700,203.96762
3751,2015-05-20,179.6888,181.4853,178.0072,178.688,721100,204.43425
3752,2015-05-21,179.4017,182.0677,179.2377,180.6404,766400,190.68785
3753,2015-05-22,181.2802,181.6986,173.0853,174.7506,629400,183.45361
3754,2015-05-25,177.1869,179.5658,175.1361,178.5076,631400,184.14612
3755,2015-05-26,179.2377,185.2997,176.6947,183.1587,1344000,179.97696
3756,2015-05-27,183.0111,186.2103,181.2884,182.1416,922200,186.20665
3757,2015-05-28,181.7068,184.1595,181.6986,183.1013,330500,191.68619
3758,2015-05-29,185.4802,189.6966,185.0619,187.695,1348000,183.16537
3759,2015-06-01,187.8427,188.6712,184.5779,186.7845,432300,187.63394
3760,2015-06-02,187.6786,190.722,187.0306,187.49,652700,192.81195
3761,2015-06-03,187.4408,188.5072,186.2185,186.7189,323700,188.85532
3762,2015-06-04,187.0306,188.5892,186.2185,187.2521,275700,193.16403
3763,2015-06-05,187.8509,191.1321,187.5638,188.1298,672100,199.9537
3764,2015-06-08,181.3787,193.388,181.3705,190.0821,938400,191.43109
3765,2015-06-09,190.3118,192.6661,189.3439,189.9017,396100,191.69989
3766,2015-06-10,191.1321,193.1829,190.4595,191.7474,523200,196.66359
3767,2015-06-11,192.7728,196.7677,192.3626,193.9048,651700,192.56877
3768,2015-06-12,194.8235,195.6438,191.1321,193.1009,390000,198.24928
3769,2015-06-15,194.0032,195.6438,192.7728,192.9368,282700,204.56601
