Date,Predicted Price
2014-12-30,59.69587
2014-12-31,59.7633
2015-01-01,58.412872
2015-01-02,58.048065
2015-01-05,59.11061
2015-01-06,59.129196
2015-01-07,59.330383
2015-01-08,59.530037
2015-01-09,58.541573
2015-01-12,57.948044
2015-01-13,58.700825
2015-01-14,58.521664
2015-01-15,58.38793
2015-01-16,58.80586
2015-01-19,57.892998
2015-01-20,57.787262
2015-01-21,58.839382
2015-01-22,58.777306
2015-01-23,58.600025
2015-01-26,59.000378
2015-01-27,58.14927
2015-01-28,57.677956
2015-01-29,58.3061
2015-01-30,58.41858
2015-02-02,58.562107
2015-02-03,58.83124
2015-02-04,58.100555
2015-02-05,58.81003
2015-02-06,60.546703
2015-02-09,60.638454
2015-02-10,61.607117
2015-02-11,61.680885
2015-02-12,59.747135
2015-02-13,58.182705
2015-02-16,57.647392
2015-02-17,56.22719
2015-02-18,53.652454
2015-02-19,52.84686
2015-02-20,51.463657
2015-02-23,51.210346
2015-02-24,51.70728
2015-02-25,51.853043
2015-02-26,52.081135
2015-02-27,51.98975
2015-03-02,50.60564
2015-03-03,49.79737
2015-03-04,49.80531
2015-03-05,49.33035
2015-03-06,48.743534
2015-03-09,49.072285
2015-03-10,49.296303
2015-03-11,48.64075
2015-03-12,48.95714
2015-03-13,49.048058
2015-03-16,48.97979
2015-03-17,48.900776
2015-03-18,48.15352
2015-03-19,47.42681
2015-03-20,47.670044
2015-03-23,47.68515
2015-03-24,47.871506
2015-03-25,47.89771
2015-03-26,47.39368
2015-03-27,46.57133
2015-03-30,46.855026
2015-03-31,45.991356
2015-04-01,45.834732
2015-04-02,45.9042
2015-04-03,45.90336
2015-04-06,45.974678
2015-04-07,47.265038
2015-04-08,47.012672
2015-04-09,47.579308
2015-04-10,47.77582
2015-04-13,47.372208
2015-04-14,46.752617
2015-04-15,47.03938
2015-04-16,46.856808
2015-04-17,46.84987
2015-04-20,46.823566
2015-04-21,46.258102
2015-04-22,45.816936
2015-04-23,46.312107
2015-04-24,46.163868
2015-04-27,46.4088
2015-04-28,46.97116
2015-04-29,46.969433
2015-04-30,47.026905
2015-05-01,47.86889
2015-05-04,48.13004
2015-05-05,48.728233
2015-05-06,49.14469
2015-05-07,48.74536
2015-05-08,48.61113
2015-05-11,49.31627
2015-05-12,49.016685
2015-05-13,49.287056
2015-05-14,49.49301
2015-05-15,48.97975
2015-05-18,48.569294
2015-05-19,49.257313
2015-05-20,48.68007
2015-05-21,48.421856
2015-05-22,48.227337
2015-05-25,47.05362
2015-05-26,46.404793
2015-05-27,46.722153
2015-05-28,46.576366
2015-05-29,46.658855
2015-06-01,46.735294
2015-06-02,46.350468
2015-06-03,46.66698
2015-06-04,47.42052
2015-06-05,47.45876
2015-06-08,48.16422
2015-06-09,48.26788
2015-06-10,47.186707
2015-06-11,46.59371
2015-06-12,47.27244
2015-06-15,47.11923
2015-06-16,47.458366
2015-06-17,47.871723
2015-06-18,48.573082
2015-06-19,49.17661
2015-06-22,50.268917
2015-06-23,50.50393
2015-06-24,51.467567
2015-06-25,51.75811
2015-06-26,51.200867
2015-06-29,50.876198
2015-06-30,51.81291
2015-07-01,52.438564
2015-07-02,53.69054
2015-07-03,53.745094
2015-07-06,53.593758
2015-07-07,54.483982
2015-07-08,57.087234
2015-07-09,58.148754
2015-07-10,60.846405
2015-07-13,61.412792
2015-07-14,60.475742
2015-07-15,60.15271
2015-07-16,60.96325
2015-07-17,61.684383
2015-07-20,62.716408
2015-07-21,63.4918
2015-07-22,62.882965
2015-07-23,63.754032
2015-07-24,66.50616
2015-07-27,67.85786
2015-07-28,69.82468
2015-07-29,70.46705
2015-07-30,68.621
2015-07-31,67.53618
2015-08-03,67.9317
2015-08-04,67.54361
2015-08-05,66.11679
2015-08-06,66.11345
2015-08-07,63.82657
2015-08-10,62.339146
2015-08-11,63.478886
2015-08-12,64.01707
2015-08-13,63.6056
2015-08-14,63.672886
2015-08-17,62.74114
2015-08-18,62.51433
2015-08-19,63.835735
2015-08-20,63.95617
2015-08-21,64.87428
2015-08-24,66.068
2015-08-25,64.987885
2015-08-26,64.752205
2015-08-27,66.38289
2015-08-28,67.38352
2015-08-31,67.035706
2015-09-01,67.14684
2015-09-02,64.94595
2015-09-03,65.26852
2015-09-04,66.293594
2015-09-07,66.2947
2015-09-08,66.35562
2015-09-09,67.02766
2015-09-10,67.13593
2015-09-11,68.20618
2015-09-14,70.35496
2015-09-15,71.84572
2015-09-16,73.62487
2015-09-17,74.947945
2015-09-18,73.446045
2015-09-21,72.82124
2015-09-22,74.46339
2015-09-23,75.90346
2015-09-24,75.99529
2015-09-25,76.52228
2015-09-28,75.063644
2015-09-29,75.8381
2015-09-30,76.3701
2015-10-01,76.54083
2015-10-02,75.926636
2015-10-05,77.04345
2015-10-06,75.05496
2015-10-07,74.44916
2015-10-08,75.04263
2015-10-09,76.91412
2015-10-12,76.67623
2015-10-13,77.0201
2015-10-14,74.686035
2015-10-15,75.53208
2015-10-16,76.32463
2015-10-19,76.82149
2015-10-20,77.45118
2015-10-21,78.798836
2015-10-22,76.18802
2015-10-23,75.69721
2015-10-26,76.93786
2015-10-27,77.48103
2015-10-28,76.77747
2015-10-29,76.673454
2015-10-30,73.14763
2015-11-02,72.363846
2015-11-03,73.697205
2015-11-04,73.27904
2015-11-05,72.73244
2015-11-06,73.23882
2015-11-09,71.385895
2015-11-10,71.29468
2015-11-11,72.47043
2015-11-12,73.06547
2015-11-13,73.52852
2015-11-16,74.42066
2015-11-17,73.12892
2015-11-18,73.064476
2015-11-19,73.19122
2015-11-20,73.04695
2015-11-23,71.922714
2015-11-24,72.43185
2015-11-25,70.190506
2015-11-26,68.969376
2015-11-27,68.26454
2015-11-30,68.15443
2015-12-01,65.71301
2015-12-02,64.686066
2015-12-03,61.51945
2015-12-04,61.893044
2015-12-07,63.307095
2015-12-08,64.1781
2015-12-09,65.98338
2015-12-10,66.91673
2015-12-11,65.814
2015-12-14,65.61511
2015-12-15,67.0267
2015-12-16,67.443596
2015-12-17,67.338684
2015-12-18,67.333145
2015-12-21,65.284935
2015-12-22,64.41534
2015-12-23,64.69418
2015-12-24,64.67591
2015-12-25,64.13876
2015-12-28,64.29204
2015-12-29,62.79653
2015-12-30,62.48101
2015-12-31,63.508022
2016-01-01,63.63604
2016-01-04,63.993088
2016-01-05,64.53489
2016-01-06,62.545586
2016-01-07,61.686928
2016-01-08,63.544697
2016-01-11,63.682182
2016-01-12,64.43369
2016-01-13,64.92809
2016-01-14,64.11876
2016-01-15,63.583496
2016-01-18,64.02532
2016-01-19,63.404373
2016-01-20,62.636864
2016-01-21,62.796925
2016-01-22,60.975346
2016-01-25,60.648766
2016-01-26,62.52747
2016-01-27,63.072884
2016-01-28,64.04429
2016-01-29,64.48321
2016-02-01,63.624535
2016-02-02,63.342396
2016-02-03,64.295364
2016-02-04,64.42063
2016-02-05,64.16602
2016-02-08,64.213936
2016-02-09,63.26066
2016-02-10,63.31267
2016-02-11,64.296036
2016-02-12,64.73568
2016-02-15,65.260956
2016-02-16,65.78492
2016-02-17,64.30104
2016-02-18,64.12514
2016-02-19,64.90541
2016-02-22,65.24054
2016-02-23,65.07193
2016-02-24,65.258064
2016-02-25,63.863754
2016-02-26,63.817356
2016-02-29,65.63988
2016-03-01,66.517296
2016-03-02,68.05562
2016-03-03,68.81527
2016-03-04,67.37187
2016-03-07,67.395325
2016-03-08,68.73913
2016-03-09,69.549736
2016-03-10,69.47055
2016-03-11,69.61439
2016-03-14,67.12639
2016-03-15,67.31996
2016-03-16,68.94284
2016-03-17,70.43431
2016-03-18,72.28293
2016-03-21,72.98296
2016-03-22,71.328354
2016-03-23,70.992935
2016-03-24,72.38385
2016-03-25,72.43392
2016-03-28,72.43903
2016-03-29,72.88241
2016-03-30,71.20569
2016-03-31,70.81865
2016-04-01,71.745865
2016-04-04,72.11797
2016-04-05,71.931725
2016-04-06,72.25393
2016-04-07,70.383606
2016-04-08,70.238525
2016-04-11,71.391624
2016-04-12,71.96132
2016-04-13,72.00224
2016-04-14,72.3979
2016-04-15,70.41779
2016-04-18,69.8931
2016-04-19,71.313774
2016-04-20,71.9291
2016-04-21,72.16124
2016-04-22,72.53774
2016-04-25,71.01491
2016-04-26,71.09027
2016-04-27,72.39168
2016-04-28,72.73001
2016-04-29,72.878784
2016-05-02,74.05118
2016-05-03,73.30876
2016-05-04,73.387634
2016-05-05,74.001945
2016-05-06,75.11686
2016-05-09,74.88605
2016-05-10,75.531136
2016-05-11,73.37211
2016-05-12,73.35028
2016-05-13,74.528
2016-05-16,74.91738
2016-05-17,74.68924
2016-05-18,75.053925
2016-05-19,72.84561
2016-05-20,73.21255
2016-05-23,74.83877
2016-05-24,75.42806
