,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,439.2325,451.4965,439.2325,449.616,424900,441.579
3651,2014-12-31,448.7712,456.9472,448.7712,454.4762,619400,446.90857
3652,2015-01-01,455.1303,470.0742,455.1303,466.4404,399800,450.22662
3653,2015-01-02,467.8485,472.1636,461.4894,466.6766,368000,454.1838
3654,2015-01-05,468.7569,470.5738,461.4894,462.1798,245100,456.09415
3655,2015-01-06,458.764,465.1232,451.0514,454.0765,501100,463.8113
3656,2015-01-07,454.0765,465.1141,453.5405,460.9534,465700,458.07437
3657,2015-01-08,461.7165,466.6675,461.6711,465.0596,208100,462.2293
3658,2015-01-09,466.4767,468.7569,461.0352,466.0679,425100,464.41187
3659,2015-01-12,464.2147,467.8485,459.082,460.5083,363500,465.05624
3660,2015-01-13,460.1267,461.4894,456.0387,458.6369,347600,461.1937
3661,2015-01-14,460.9897,466.94,459.2183,461.4621,805000,463.651
3662,2015-01-15,463.3063,466.7129,457.4014,459.6452,476800,458.3733
3663,2015-01-16,460.6718,462.3978,455.321,459.4908,330300,462.07208
3664,2015-01-19,459.8996,463.2972,458.7731,462.1525,234400,462.31366
3665,2015-01-20,463.3063,465.0232,459.6816,460.7899,611000,464.47913
3666,2015-01-21,461.8528,469.4292,460.5809,463.0792,923600,459.9744
3667,2015-01-22,461.4894,463.279,454.4035,456.0296,401500,463.66415
3668,2015-01-23,457.2197,459.6725,454.2127,455.2756,294900,457.19626
3669,2015-01-26,463.2972,466.94,460.5809,464.2783,890800,459.6339
3670,2015-01-27,465.9408,487.489,464.6598,486.6533,3183600,462.4354
3671,2015-01-28,486.0174,506.6845,482.4744,491.1864,1750400,468.65433
3672,2015-01-29,490.5596,496.0102,476.0336,477.9413,1335200,471.7993
3673,2015-01-30,479.6583,483.292,467.8485,471.9546,2426100,480.5795
3674,2015-02-02,476.9329,486.6533,473.2991,479.9308,3318900,476.24295
3675,2015-02-03,481.4751,484.6547,475.116,480.1761,2012300,481.46564
3676,2015-02-04,480.5667,487.8797,476.7512,477.7051,1390400,482.5699
3677,2015-02-05,480.5667,487.8797,476.7512,477.7051,1390400,481.11313
3678,2015-02-06,480.5667,485.1089,479.5583,481.3934,891800,476.6121
3679,2015-02-09,482.747,495.0927,481.4751,488.2885,3028200,481.63126
3680,2015-02-10,491.468,496.9096,483.292,490.0508,1302600,477.9909
3681,2015-02-11,490.5596,494.9201,486.0264,487.9342,497200,485.7059
3682,2015-02-12,491.468,494.1934,467.9848,484.5729,685200,488.43872
3683,2015-02-13,488.7336,491.0138,481.4842,489.5239,337800,490.9155
