,Date,Open,High,Low,Close,Volume,Predicted Price
3650,2014-12-30,30.6726,31.5887,30.6386,31.3579,1847580,31.147478
3651,2014-12-31,31.5208,31.6905,30.5368,30.8219,4281366,30.789013
3652,2015-01-01,30.9101,32.1315,30.6794,31.8805,4135212,30.740847
3653,2015-01-02,32.5048,33.4684,32.403,32.8101,7774770,31.40414
3654,2015-01-05,33.0816,33.2444,32.5726,32.8509,2179604,31.41884
3655,2015-01-06,32.878,34.337,32.8169,33.7398,8448880,32.44073
3656,2015-01-07,34.0995,34.3913,33.7262,33.7738,3425093,32.71274
3657,2015-01-08,33.861999999999995,34.5949,33.1155,34.3641,5362696,32.916004
3658,2015-01-09,34.5677,34.8731,34.0995,34.4998,6865542,33.540745
3659,2015-01-12,34.7102,35.0495,33.7534,34.018,3401263,34.297462
3660,2015-01-13,34.2081,34.3709,33.6312,34.0045,1811042,33.692772
3661,2015-01-14,34.1334,35.1513,33.9298,34.8256,6597063,34.512043
3662,2015-01-15,34.9477,35.287,34.4795,34.6288,3691454,34.345413
3663,2015-01-16,34.8459,34.9477,34.2759,34.5949,1572747,34.112118
3664,2015-01-19,34.8052,34.9477,33.8145,33.9502,2810821,34.170803
3665,2015-01-20,33.9977,34.2691,32.5726,32.7898,3670801,34.596794
3666,2015-01-21,33.1359,33.1359,31.1544,31.3308,11194567,33.534397
3667,2015-01-22,31.3851,31.8601,31.3851,31.5276,2806055,33.702427
3668,2015-01-23,31.5547,31.7108,30.8761,31.2562,1106748,32.60735
3669,2015-01-26,31.7515,32.0162,31.5547,31.5887,2310402,31.806452
3670,2015-01-27,31.6837,31.6837,31.0797,31.229,2127180,31.313625
3671,2015-01-28,31.453000000000003,31.453000000000003,30.8083,30.8829,644985,31.538513
3672,2015-01-29,31.0051,31.3444,30.7065,31.2154,1098805,30.974663
3673,2015-01-30,31.3512,31.419,30.469,30.5708,2151009,31.631727
3674,2015-02-02,31.3444,31.7244,31.2222,31.3715,3604608,31.189089
3675,2015-02-03,31.4869,31.6226,30.7065,30.7947,1004016,30.915615
3676,2015-02-04,30.7065,31.2562,30.5368,30.6115,1112573,30.777409
3677,2015-02-05,30.7065,31.2562,30.5368,30.6115,1112573,31.022139
3678,2015-02-06,30.8083,31.2154,30.7404,30.9576,1200477,30.42887
3679,2015-02-09,31.0458,31.3851,30.6047,31.1951,1396938,31.261982
3680,2015-02-10,32.0637,32.1315,31.324,31.5072,3683510,31.048351
3681,2015-02-11,31.6226,31.6837,30.4893,30.6726,874807,30.913572
3682,2015-02-12,30.4011,30.7404,29.5189,30.0143,1444067,30.836697
3683,2015-02-13,30.0279,30.3333,29.6547,29.7225,1390054,30.881535
3684,2015-02-16,29.6615,30.7065,29.1525,29.2679,1580690,30.181858
3685,2015-02-17,29.4443,29.5868,28.9761,29.1525,1028905,30.556684
3686,2015-02-18,29.2814,29.3154,28.9082,29.1186,551785,29.860645
3687,2015-02-19,29.0439,29.96,29.0439,29.4647,5631704,29.327488
3688,2015-02-20,29.5189,29.6207,29.0439,29.0914,2541813,29.221558
3689,2015-02-23,29.1797,29.7904,29.1118,29.4647,3690394,29.330307
3690,2015-02-24,29.6207,30.5301,29.3222,29.4782,4173339,29.096241
3691,2015-02-25,29.6479,29.6886,29.1118,29.5393,1315388,29.750412
3692,2015-02-26,29.4579,29.8582,29.3493,29.6275,776312,29.66131
3693,2015-02-27,29.6275,29.6886,29.1457,29.2339,1025727,29.417963
3694,2015-03-02,29.1797,29.1797,28.2432,28.4264,912934,29.335148
3695,2015-03-03,28.6028,28.6028,27.8971,28.5011,664578,29.23329
3696,2015-03-04,28.7046,28.8404,28.3721,28.7521,748776,28.75765
3697,2015-03-05,28.7046,29.0439,28.5011,28.6503,530074,29.279095
3698,2015-03-06,28.7725,28.8946,28.3653,28.4468,468117,28.96678
3699,2015-03-09,28.3382,28.5621,27.8225,28.0396,657694,28.536509
3700,2015-03-10,27.8564,27.8903,27.2932,27.5103,1069680,28.304268
3701,2015-03-11,27.1506,27.8021,26.8046,27.6325,986012,28.202045
3702,2015-03-12,27.7885,27.9582,27.5849,27.9107,518424,27.850166
3703,2015-03-13,28.0328,28.2296,27.965,28.1957,195402,28.290146
3704,2015-03-16,28.2907,28.3993,27.8903,28.0803,301311,28.186346
3705,2015-03-17,27.9242,28.06,27.551,27.646,249945,27.924807
3706,2015-03-18,27.6867,27.9785,26.6688,27.1235,1292618,27.869476
3707,2015-03-19,26.6349,27.2728,26.6349,27.1642,410397,27.756598
3708,2015-03-20,27.2117,28.2635,27.2117,28.1685,846212,27.42929
3709,2015-03-23,27.2117,28.2635,27.2117,28.1685,846212,28.036959
3710,2015-03-24,28.1618,28.4061,27.7207,27.7275,828207,28.04203
3711,2015-03-25,27.5849,28.1278,27.551,27.68,518424,27.743887
3712,2015-03-26,27.7885,27.7885,26.3635,27.171,1512379,27.783045
3713,2015-03-27,27.1506,27.1439,25.8138,25.8206,908698,27.726913
3714,2015-03-30,25.1827,26.1124,24.5313,24.5313,1829046,26.949266
3715,2015-03-31,23.7645,25.7527,23.4794,25.7527,688937,26.864931
3716,2015-04-01,26.3295,26.7231,24.9724,25.9902,371740,26.329327
3717,2015-04-02,26.126,27.2796,26.1328,27.0692,963241,25.88593
3718,2015-04-03,27.6528,28.4196,26.981,28.4196,691055,26.307684
3719,2015-04-06,28.5689,28.8404,28.1618,28.4536,1295795,26.938204
3720,2015-04-07,28.2975,28.3653,27.8292,27.9582,249945,27.228006
3721,2015-04-08,28.1618,28.7725,27.6189,28.2432,936234,28.07643
3722,2015-04-09,28.1685,28.4332,27.8225,27.8903,671462,28.294296
3723,2015-04-10,28.0939,28.3993,27.9921,28.0532,573497,28.153055
3724,2015-04-13,27.8903,28.1618,27.2117,27.6189,157275,28.026985
3725,2015-04-14,27.4967,28.0939,27.4832,27.7817,370681,27.98906
3726,2015-04-15,28.155,28.155,27.1846,27.9582,911875,27.775919
3727,2015-04-16,27.8292,28.7657,27.8225,28.3789,2012798,28.266161
3728,2015-04-17,28.3653,28.5961,27.9921,28.2771,2421606,28.289028
3729,2015-04-20,28.5011,28.6707,26.8656,26.8656,4304666,28.06429
3730,2015-04-21,26.0242,26.3635,25.7052,25.9699,1379463,27.660255
3731,2015-04-22,25.9224,26.791,25.9224,26.3838,1329686,27.261139
3732,2015-04-23,26.4653,26.8385,25.7867,25.8342,699528,26.934175
3733,2015-04-24,26.0242,26.316,25.7188,25.997,689467,26.97669
3734,2015-04-27,26.126,26.3295,25.8206,26.1328,504656,26.500793
3735,2015-04-28,26.0649,26.3906,25.8342,25.9427,812851,26.143213
3736,2015-04-29,25.9563,26.2278,25.7935,25.9563,414633,26.082396
3737,2015-04-30,25.9224,26.2278,25.9224,26.0174,370151,26.04152
3738,2015-05-01,25.9224,26.2278,25.9224,26.0174,370151,25.91074
3739,2015-05-04,26.0445,26.5331,25.997,26.0581,968007,26.399078
3740,2015-05-05,26.126,26.0581,25.6645,25.6985,583028,26.325335
3741,2015-05-06,25.7867,25.9563,25.5967,25.6306,924584,26.012812
3742,2015-05-07,25.5492,25.746,25.3184,25.4881,570849,25.85189
3743,2015-05-08,25.3117,25.5831,25.0402,25.5017,650810,25.748222
3744,2015-05-11,25.873,26.3761,24.8309,24.8452,269500,25.606709
3745,2015-05-12,24.5793,25.5136,24.3781,25.219,506000,25.787573
3746,2015-05-13,25.4418,25.4418,24.4356,24.9962,306000,25.62556
3747,2015-05-14,24.874,25.2262,24.6871,24.7662,582500,25.278643
3748,2015-05-15,25.0465,25.0465,24.6153,24.7374,161000,25.058643
3749,2015-05-18,24.9962,24.9962,24.0116,24.2559,553000,24.914692
3750,2015-05-19,24.0044,24.3565,23.8463,24.0619,256000,24.673319
3751,2015-05-20,24.0691,24.2919,23.7169,23.9613,728000,24.896784
3752,2015-05-21,23.8319,24.0762,23.5013,23.7097,517000,24.626154
3753,2015-05-22,23.5013,23.5732,22.876,23.0485,890000,24.204817
3754,2015-05-25,23.4366,23.645,22.9982,23.0916,1316000,23.699566
3755,2015-05-26,23.1419,23.1419,22.7107,22.9623,153000,23.445148
3756,2015-05-27,22.9263,23.6594,23.2138,23.4869,2127000,23.313314
3757,2015-05-28,23.1779,23.2857,23.1419,23.1779,155500,23.595133
3758,2015-05-29,23.3863,23.4654,23.0773,23.1779,763500,23.53098
3759,2015-06-01,23.3432,24.2128,23.2857,24.0475,2564500,23.347923
3760,2015-06-02,24.2128,24.4356,23.9325,24.1266,1035500,23.696396
3761,2015-06-03,24.1841,24.2919,24.0044,24.0834,231000,23.73489
3762,2015-06-04,23.9397,24.6368,23.9397,24.3781,802500,23.73781
3763,2015-06-05,24.0906,25.4777,24.0762,25.1902,2018500,24.362667
3764,2015-06-08,24.4356,25.873,23.9756,25.5496,2598000,24.819208
3765,2015-06-09,25.5136,25.5136,25.0105,25.1255,590500,24.91179
3766,2015-06-10,25.1543,25.2262,24.7231,24.7734,360000,25.239998
