Date,Predicted Price
2014-12-30,166.35574
2014-12-31,161.47972
2015-01-01,161.45255
2015-01-02,160.70569
2015-01-05,162.08891
2015-01-06,164.72462
2015-01-07,165.68517
2015-01-08,164.87198
2015-01-09,166.15718
2015-01-12,166.47044
2015-01-13,167.87108
2015-01-14,168.88393
2015-01-15,168.9469
2015-01-16,166.8947
2015-01-19,167.30174
2015-01-20,168.00194
2015-01-21,168.90504
2015-01-22,170.46504
2015-01-23,170.62082
2015-01-26,168.68578
2015-01-27,168.0861
2015-01-28,169.23079
2015-01-29,169.91252
2015-01-30,171.21248
2015-02-02,172.74092
2015-02-03,177.00456
2015-02-04,177.43983
2015-02-05,179.57092
2015-02-06,179.73616
2015-02-09,179.55309
2015-02-10,179.04054
2015-02-11,180.59837
2015-02-12,178.43083
2015-02-13,177.60242
2015-02-16,177.39867
2015-02-17,176.398
2015-02-18,176.15057
2015-02-19,175.07484
2015-02-20,174.9883
2015-02-23,174.88545
2015-02-24,175.55655
2015-02-25,175.8162
2015-02-26,175.85493
2015-02-27,175.69548
2015-03-02,174.70204
2015-03-03,173.5945
2015-03-04,173.74446
2015-03-05,174.277
2015-03-06,174.57951
2015-03-09,173.4491
2015-03-10,173.55913
2015-03-11,173.12328
2015-03-12,174.09361
2015-03-13,174.72163
2015-03-16,175.14436
2015-03-17,173.84921
2015-03-18,173.70238
2015-03-19,171.87704
2015-03-20,171.19038
2015-03-23,170.30835
2015-03-24,169.79189
2015-03-25,167.3846
2015-03-26,167.74628
2015-03-27,167.19072
2015-03-30,166.6545
2015-03-31,164.21178
2015-04-01,164.24718
2015-04-02,166.17812
2015-04-03,165.91997
2015-04-06,169.65535
2015-04-07,171.59915
2015-04-08,173.20645
2015-04-09,173.64134
2015-04-10,178.33113
2015-04-13,178.9128
2015-04-14,183.71223
2015-04-15,185.58853
2015-04-16,188.01924
2015-04-17,189.55289
2015-04-20,191.50404
2015-04-21,189.40796
2015-04-22,187.15459
2015-04-23,188.02211
2015-04-24,188.71806
2015-04-27,189.22481
2015-04-28,192.1905
2015-04-29,190.0206
2015-04-30,188.7561
2015-05-01,189.49292
2015-05-04,188.46724
2015-05-05,188.39018
2015-05-06,189.79945
2015-05-07,189.45735
2015-05-08,190.2975
2015-05-11,190.06578
2015-05-12,188.63556
2015-05-13,188.44017
2015-05-14,184.93613
2015-05-15,185.24655
2015-05-18,184.05363
2015-05-19,184.40205
2015-05-20,184.89073
2015-05-21,185.04704
2015-05-22,185.14384
2015-05-25,185.39417
2015-05-26,186.01323
2015-05-27,186.15074
2015-05-28,186.61353
2015-05-29,187.21724
2015-06-01,185.77266
2015-06-02,185.88939
2015-06-03,187.192
2015-06-04,191.00298
2015-06-05,194.12756
2015-06-08,196.22563
2015-06-09,202.20476
2015-06-10,202.68684
2015-06-11,204.5039
2015-06-12,204.24396
2015-06-15,203.36293
2015-06-16,204.16136
2015-06-17,203.1691
2015-06-18,202.16624
2015-06-19,202.12564
2015-06-22,203.90364
2015-06-23,203.97171
2015-06-24,204.2835
2015-06-25,205.18056
2015-06-26,203.10504
2015-06-29,201.68513
2015-06-30,202.8423
2015-07-01,202.0569
2015-07-02,202.21254
2015-07-03,202.48177
2015-07-06,203.17853
2015-07-07,204.91951
2015-07-08,203.97264
2015-07-09,203.96768
2015-07-10,203.58049
2015-07-13,197.52785
2015-07-14,197.23344
2015-07-15,195.36162
2015-07-16,195.61021
2015-07-17,195.00392
2015-07-20,194.62872
2015-07-21,193.3311
