Date,Predicted Price
2018-02-28,0.9004404
2018-03-01,0.9151783
2018-03-02,0.9332918
2018-03-05,0.734753
2018-03-06,0.90633
2018-03-07,0.90230554
2018-03-08,0.88351494
2018-03-09,0.90065974
2018-03-12,0.90921116
2018-03-13,0.72518873
2018-03-14,0.87777
2018-03-15,0.8712889
2018-03-16,0.8602548
2018-03-19,0.88007176
2018-03-20,0.9001244
2018-03-21,0.7234945
2018-03-22,0.8919277
2018-03-23,0.892512
2018-03-26,0.8934575
2018-03-27,0.9154643
2018-03-28,0.93213964
2018-03-29,0.73375845
2018-03-30,0.8941349
2018-04-02,0.8923521
2018-04-03,0.8969372
2018-04-04,0.92830014
2018-04-05,0.95067966
2018-04-06,0.74003816
2018-04-09,0.9060527
2018-04-10,0.89891845
2018-04-11,0.8834754
2018-04-12,0.9107965
2018-04-13,0.933686
2018-04-16,0.7344141
2018-04-17,0.9033431
2018-04-18,0.91082436
2018-04-19,0.9004099
2018-04-20,0.910853
2018-04-23,0.91690576
2018-04-24,0.73049426
2018-04-25,0.9023575
2018-04-26,0.9052095
2018-04-27,0.89745104
2018-04-30,0.9203445
2018-05-01,0.93686414
2018-05-02,0.7352284
2018-05-03,0.9041214
2018-05-04,0.8972462
2018-05-07,0.8821983
2018-05-08,0.8961599
2018-05-09,0.9085865
2018-05-10,0.7238033
2018-05-11,0.8791069
2018-05-14,0.8645783
2018-05-15,0.83969164
2018-05-16,0.8472119
2018-05-17,0.85372186
2018-05-18,0.699831
2018-05-21,0.84019315
2018-05-22,0.8287018
2018-05-23,0.827467
2018-05-24,0.8451532
2018-05-25,0.8598741
2018-05-28,0.7083653
2018-05-29,0.86199766
2018-05-30,0.8491097
2018-05-31,0.8352527
2018-06-01,0.85754114
2018-06-04,0.8766706
2018-06-05,0.7114351
2018-06-06,0.8534317
2018-06-07,0.83844775
2018-06-08,0.819845
2018-06-11,0.8333325
2018-06-12,0.8534621
2018-06-13,0.70202494
2018-06-14,0.8520451
2018-06-15,0.8402379
2018-06-18,0.8290668
2018-06-19,0.8421814
2018-06-20,0.85732245
2018-06-21,0.70186377
2018-06-22,0.83766156
2018-06-25,0.8216828
2018-06-26,0.8085521
2018-06-27,0.8213874
2018-06-28,0.82291794
2018-06-29,0.68622255
2018-07-02,0.8151542
2018-07-03,0.80964845
2018-07-04,0.81548554
2018-07-05,0.8186615
2018-07-06,0.81760114
2018-07-09,0.6802635
2018-07-10,0.7672864
2018-07-11,0.7380164
2018-07-12,0.71829957
2018-07-13,0.72008586
2018-07-16,0.7184049
2018-07-17,0.6358906
2018-07-18,0.69385403
2018-07-19,0.6728416
2018-07-20,0.67693657
2018-07-23,0.70334005
2018-07-24,0.7181395
2018-07-25,0.64575446
2018-07-26,0.75028706
2018-07-27,0.73279727
2018-07-30,0.73670787
2018-07-31,0.7566818
2018-08-01,0.76880735
2018-08-02,0.66147196
2018-08-03,0.755319
2018-08-06,0.7341119
2018-08-07,0.7307949
2018-08-08,0.75033724
2018-08-09,0.76510656
2018-08-10,0.6635252
2018-08-13,0.7723326
2018-08-14,0.7550103
2018-08-15,0.75049525
2018-08-16,0.7616042
2018-08-17,0.7644712
2018-08-20,0.66146946
2018-08-21,0.7454209
2018-08-22,0.7158349
2018-08-23,0.69729763
2018-08-24,0.7019952
2018-08-27,0.7038275
2018-08-28,0.6317792
2018-08-29,0.6982367
2018-08-30,0.6716139
2018-08-31,0.6625093
2018-09-03,0.6655771
2018-09-04,0.6683984
2018-09-05,0.6117712
2018-09-06,0.6611406
2018-09-07,0.6326546
2018-09-10,0.6201219
2018-09-11,0.6121105
2018-09-12,0.60748965
2018-09-13,0.58114684
2018-09-14,0.617989
2018-09-17,0.59759116
2018-09-18,0.6144016
2018-09-19,0.6232532
2018-09-20,0.62958
2018-09-21,0.59455013
2018-09-24,0.6364342
2018-09-25,0.6070926
2018-09-26,0.6050849
2018-09-27,0.59423697
2018-09-28,0.57527924
2018-10-01,0.55639255
2018-10-02,0.54082793
2018-10-03,0.5124817
2018-10-04,0.54105216
2018-10-05,0.5669055
2018-10-08,0.58696824
2018-10-09,0.57401586
2018-10-10,0.6074953
2018-10-11,0.59506816
2018-10-12,0.622792
2018-10-15,0.6459304
2018-10-16,0.66164714
2018-10-17,0.61482644
2018-10-18,0.68130106
2018-10-19,0.6657874
2018-10-22,0.68038535
2018-10-23,0.69040674
2018-10-24,0.68558574
2018-10-25,0.6220734
2018-10-26,0.6845049
2018-10-29,0.6678147
2018-10-30,0.6766185
2018-10-31,0.6846441
2018-11-01,0.6875799
2018-11-02,0.62253404
2018-11-05,0.6839394
2018-11-06,0.6614669
2018-11-07,0.6669734
2018-11-08,0.6727924
2018-11-09,0.6750282
2018-11-12,0.6142272
2018-11-13,0.6602643
2018-11-14,0.63742346
2018-11-15,0.63606906
2018-11-16,0.6414201
2018-11-19,0.66239494
2018-11-20,0.6195842
2018-11-21,0.7119456
2018-11-22,0.6976716
2018-11-23,0.7126686
2018-11-26,0.72376335
2018-11-27,0.7290834
2018-11-28,0.6449158
2018-11-29,0.72487
2018-11-30,0.7063456
2018-12-03,0.7074583
2018-12-04,0.71451926
2018-12-05,0.6965171
