,Date,Open,High,Low,Close,Volume,Predicted Price
3610,2015-01-22,404.5274,414.6085,404.5274,413.0132,4688,409.82233
3611,2015-01-23,404.5064,416.7131,404.5064,416.3048,21387,408.33463
3612,2015-01-26,416.7131,416.7131,410.3993,415.4966,21973,420.14517
3613,2015-01-27,414.6085,420.9223,414.6085,417.1424,5664,417.23618
3614,2015-01-28,420.9223,426.3943,420.9223,421.7642,1953,424.66382
3615,2015-01-29,416.7131,416.7131,412.5039,414.6085,781,422.5948
3616,2015-01-30,416.7131,416.7131,412.5039,414.6085,781,417.86896
3617,2015-02-02,412.5039,412.5039,408.2947,408.2947,684,414.7317
3618,2015-02-03,410.3993,410.3993,406.19,406.19,195,419.00385
3619,2015-02-04,399.8762,404.0854,399.2448,399.9394,6445,408.97397
3620,2015-02-05,399.8762,404.0854,399.2448,399.9394,6445,406.1205
3621,2015-02-06,410.3993,410.3993,410.3993,410.3993,98,413.30682
3622,2015-02-09,407.8737,416.2922,395.667,397.78,8398,404.90616
3623,2015-02-10,391.4578,392.7205,390.0098,392.7205,1172,400.7793
3624,2015-02-11,395.2461,395.667,395.667,395.667,977,404.38632
3625,2015-02-12,395.667,395.667,395.667,395.667,195,396.2502
3626,2015-02-13,395.667,395.667,395.667,395.667,98,402.68225
3627,2015-02-16,395.667,395.667,395.667,395.667,98,403.16464
3628,2015-02-17,397.7716,397.7716,378.8301,391.3862,2246,395.74432
3629,2015-02-18,380.0929,395.2461,380.0929,384.5125,1563,392.93552
3630,2015-02-19,387.6695,393.5624,387.6695,387.6695,781,395.93503
3631,2015-02-20,394.8251,394.8251,389.3952,389.3952,488,388.2945
3632,2015-02-23,395.667,395.667,387.6695,387.6695,1758,396.3701
3633,2015-02-24,391.4578,391.4578,387.6695,387.6695,977,396.14215
3634,2015-02-25,386.4067,386.4067,386.4067,386.4067,195,387.97928
3635,2015-02-26,383.0393,383.0604,383.0393,383.0604,391,386.0758
3636,2015-02-27,391.4536,391.4536,375.8836,376.8644,586,391.5719
3637,2015-03-02,372.9372,378.8301,372.5163,378.8301,293,381.22037
3638,2015-03-03,374.6209,374.6209,374.6209,374.6209,195,386.4004
3639,2015-03-04,378.8301,378.8301,373.3581,373.3581,1172,386.57346
3640,2015-03-05,372.5163,378.8301,361.9932,378.8301,586,376.2872
3641,2015-03-06,378.8301,378.8301,368.307,368.307,488,374.94424
3642,2015-03-09,378.8301,378.8301,368.307,368.307,488,378.92517
3643,2015-03-10,378.8301,378.8301,368.307,368.307,488,370.737
3644,2015-03-11,353.5748,370.4116,353.5748,370.4116,1465,375.1228
3645,2015-03-12,378.8301,378.8301,370.4116,370.4116,391,378.9203
3646,2015-03-13,370.4116,378.8301,370.4116,370.4116,1074,369.761
3647,2015-03-16,374.6209,374.6209,368.307,368.307,684,368.36432
3648,2015-03-17,374.6209,374.6209,368.307,368.307,684,375.1602
3649,2015-03-18,353.5748,377.9883,353.5748,377.9883,195,369.7792
3650,2015-03-19,366.2024,368.307,361.9932,368.307,1074,384.59067
3651,2015-03-20,364.0978,380.9347,364.0978,374.6209,1172,377.68372
3652,2015-03-23,364.0978,380.9347,364.0978,374.6209,1172,371.69565
3653,2015-03-24,378.8301,378.8301,361.9932,361.9932,1270,371.63763
3654,2015-03-25,378.8301,378.8301,361.9932,361.9932,1270,375.01114
3655,2015-03-26,361.9932,361.9932,355.6794,355.6794,391,365.11212
3656,2015-03-27,357.784,357.784,339.2634,339.2634,684,361.8392
3657,2015-03-30,322.3002,322.3002,322.3002,322.3002,391,367.10745
3658,2015-03-31,306.4315,324.1102,306.4315,324.1102,2441,343.94656
3659,2015-04-01,319.901,324.1102,308.957,312.7453,2148,336.8734
3660,2015-04-02,313.5871,324.1102,311.4825,323.6893,1465,328.60355
3661,2015-04-03,315.6917,315.6917,309.7988,314.8457,5762,322.04272
3662,2015-04-06,311.9034,330.584,311.4825,330.584,4492,319.0352
3663,2015-04-07,332.5286,336.3169,328.3236,336.3169,2148,328.79343
3664,2015-04-08,332.5286,340.9471,328.3194,334.0692,2930,327.01703
