,Date,Open,High,Low,Close,Volume,Predicted Price
3637,2015-01-06,227.957,238.8081,227.957,238.6992,32300,226.43129
3638,2015-01-07,235.4648,247.1874,232.9427,243.1402,123500,235.07375
3639,2015-01-08,243.8357,242.9978,237.1323,239.0092,147600,238.03963
3640,2015-01-09,230.5127,242.076,230.5127,235.49,72400,239.67577
3641,2015-01-12,238.7076,242.8972,234.828,240.417,63800,238.26897
3642,2015-01-13,241.7325,241.7409,239.0176,240.5678,18100,241.95535
3643,2015-01-14,239.6544,242.9978,238.8081,242.3945,169900,238.20064
3644,2015-01-15,242.9894,247.1874,241.3387,243.6094,178500,244.38046
3645,2015-01-16,246.3411,255.7845,245.5115,255.7845,272800,241.48634
3646,2015-01-19,266.4429,267.2975,259.7562,263.9458,169300,247.12541
3647,2015-01-20,262.27,274.0009,256.4045,270.2889,147300,253.69987
3648,2015-01-21,270.6576,282.3634,268.1438,276.1963,252200,264.0615
3649,2015-01-22,279.8664,279.8664,263.1079,265.6552,86000,258.10144
3650,2015-01-23,266.4596,268.1355,258.0804,261.8678,29200,267.12308
3651,2015-01-26,260.6779,271.4034,257.2592,270.423,111200,266.6229
3652,2015-01-27,271.4872,274.0009,268.1355,271.9648,65400,268.2066
3653,2015-01-28,269.8113,276.5147,268.0517,268.6047,68800,270.47473
3654,2015-01-29,268.1355,272.2916,268.1355,271.2023,61500,271.14917
3655,2015-01-30,272.3251,274.8388,268.1355,270.5068,53100,266.92175
3656,2015-02-02,271.4034,276.5147,268.9734,270.4816,152700,271.77042
3657,2015-02-03,269.8029,269.8029,266.5434,266.5434,6500,271.13785
3658,2015-02-04,268.1271,271.4872,264.3648,268.1187,25100,269.75766
3659,2015-02-05,268.1271,271.4872,264.3648,268.1187,25100,269.70392
3660,2015-02-06,267.2975,270.6492,264.2475,265.077,7500,271.11758
3661,2015-02-09,264.7838,268.5544,256.4045,267.926,30700,266.00476
3662,2015-02-10,271.0431,271.0682,259.7562,262.6135,10000,268.27075
3663,2015-02-11,263.9458,268.1187,259.7562,260.259,15200,266.01947
3664,2015-02-12,262.27,262.27,254.3935,258.9183,2500,263.95557
3665,2015-02-13,245.9724,268.1355,245.9724,266.8534,45300,263.3309
3666,2015-02-16,263.9458,268.5544,259.9238,267.7835,11100,266.28406
3667,2015-02-17,260.6025,261.4321,259.7562,260.1752,4900,260.87323
3668,2015-02-18,261.4321,261.4321,256.4967,256.5051,300,266.09634
3669,2015-02-19,259.7478,267.2975,255.5666,264.1972,16600,260.76407
3670,2015-02-20,260.6025,268.0098,259.7562,262.27,8400,262.2733
3671,2015-02-23,259.9238,262.2616,257.2425,257.41,1900,263.4497
3672,2015-02-24,263.9458,263.9458,251.377,253.8405,13700,262.23453
3673,2015-02-25,255.4828,258.0804,251.377,254.5443,19400,258.20148
3674,2015-02-26,255.5666,256.4045,253.8908,254.0583,15100,258.87668
3675,2015-02-27,255.5582,259.7562,251.377,254.8711,94000,255.69466
3676,2015-03-02,251.377,255.5666,248.88,253.8908,800,255.10439
3677,2015-03-03,251.377,251.377,251.377,251.377,1200,255.52444
3678,2015-03-04,251.377,253.8908,248.0253,251.3937,5100,255.71602
3679,2015-03-05,251.377,252.2149,250.5391,251.377,900,251.91698
3680,2015-03-06,251.377,254.7287,251.377,253.8908,5400,254.37897
3681,2015-03-09,253.4718,255.9856,252.2987,252.2987,12200,252.77892
3682,2015-03-10,247.1874,250.1201,247.1874,247.1874,8200,253.00218
3683,2015-03-11,247.1874,247.1874,242.9978,247.1874,2300,251.62526
3684,2015-03-12,249.6174,249.6174,242.9978,247.6147,4300,251.74545
3685,2015-03-13,244.6736,254.1421,244.6736,253.0696,8900,248.79263
3686,2015-03-16,251.377,251.377,248.4443,250.5391,4900,253.81808
3687,2015-03-17,245.2355,254.5698,245.2355,252.0325,53600,250.21614
3688,2015-03-18,258.8126,258.8126,239.4313,241.99400000000003,4600,251.34195
3689,2015-03-19,250.3269,250.3269,240.9927,241.1879,1600,250.34822
3690,2015-03-20,246.0841,246.0841,246.0841,246.0841,100,247.27887
3691,2015-03-23,246.0841,246.0841,246.0841,246.0841,100,246.01894
3692,2015-03-24,245.2355,245.2355,233.7799,234.0684,14500,250.38083
3693,2015-03-25,237.5984,237.5984,234.2042,235.6892,1800,241.20502
3694,2015-03-26,240.0593,240.0593,223.9111,229.0619,7400,239.24715
3695,2015-03-27,224.8699,224.8699,217.6147,217.8353,1500,237.45114
3696,2015-03-30,207.101,207.0925,206.9482,207.0246,500,229.62373
3697,2015-03-31,196.6806,217.3686,196.6806,216.6728,31200,226.40611
3698,2015-04-01,218.0814,224.0214,218.0814,222.5364,12300,219.9639
3699,2015-04-02,224.8699,233.6526,224.8699,227.9418,15900,218.54147
3700,2015-04-03,229.1128,236.7499,229.1128,236.7499,900,221.30614
3701,2015-04-06,240.9927,241.8413,235.9862,241.8413,5000,225.43852
3702,2015-04-07,246.0841,246.0841,231.2342,237.5984,3100,237.02118
3703,2015-04-08,236.7499,237.5984,233.3556,237.5984,800,230.76045
3704,2015-04-09,241.7564,241.7564,233.3556,237.9124,2600,236.53818
3705,2015-04-10,237.5984,237.5984,235.0527,235.0527,9600,237.86699
3706,2015-04-13,236.7499,238.447,233.3556,235.4431,15000,237.74911
3707,2015-04-14,235.0527,235.9013,233.3641,233.3641,1500,237.19446
3708,2015-04-15,235.9013,237.5984,234.2042,235.477,6600,237.5745
3709,2015-04-16,234.4163,236.7499,233.3726,236.699,10500,233.98198
3710,2015-04-17,233.7799,235.9013,226.7368,233.8393,12200,237.7971
3711,2015-04-20,235.8928,235.9013,235.0527,235.5279,8100,235.12361
3712,2015-04-21,232.507,232.507,229.1128,229.4437,3600,235.58829
3713,2015-04-22,229.5371,235.9013,229.5371,234.2127,46200,235.16316
3714,2015-04-23,235.9013,235.9013,231.6585,231.6585,2900,235.77606
3715,2015-04-24,235.9013,235.9013,235.0527,235.9013,6400,232.0645
3716,2015-04-27,235.9013,245.9908,235.9013,241.5612,10300,238.14343
3717,2015-04-28,241.8413,246.0841,239.2956,244.8961,23700,236.13666
3718,2015-04-29,242.2655,257.1409,242.2655,257.1409,133600,240.32222
3719,2015-04-30,263.0469,266.4497,249.6056,250.2336,65400,244.74455
3720,2015-05-01,263.0469,266.4497,249.6056,250.2336,65400,251.3845
3721,2015-05-04,251.1755,257.9216,241.8413,242.3674,22000,246.81612
3722,2015-05-05,245.2355,247.6964,235.477,238.1585,44900,245.28821
3723,2015-05-06,242.2655,243.5299,234.2042,238.2773,15800,244.69487
3724,2015-05-07,240.6957,240.9842,235.9013,236.3256,4800,241.99521
3725,2015-05-08,233.3556,236.7499,232.9313,233.7969,2300,240.54091
3726,2015-05-11,233.3556,233.3556,222.1121,223.4019,16700,238.68533
3727,2015-05-12,219.787,232.507,219.787,228.0945,33000,233.93318
3728,2015-05-13,229.5286,234.2042,229.1128,230.9711,21400,231.9834
3729,2015-05-14,232.9313,233.3471,229.9613,229.9613,2500,229.64511
3730,2015-05-15,235.9013,236.7499,229.1128,229.9953,10500,229.86076
3731,2015-05-18,235.8843,237.5815,230.8099,232.3543,6900,229.69376
3732,2015-05-19,231.6585,233.3556,229.1128,233.3556,5000,233.60715
3733,2015-05-20,229.1128,230.3856,228.8667,229.2401,13200,229.54573
3734,2015-05-21,228.2642,229.1128,227.8399,227.8399,4200,233.53159
3735,2015-05-22,224.63,234.9312,219.6041,221.9019,15200,229.72012
3736,2015-05-25,228.4768,228.4768,222.9002,224.5611,4400,227.90617
3737,2015-05-26,228.0465,228.0465,222.4613,224.6041,2600,226.68704
3738,2015-05-27,225.895,228.0551,222.7195,228.0293,51400,227.41916
3739,2015-05-28,228.0551,229.759,226.3425,228.8726,5900,223.3549
3740,2015-05-29,227.1945,236.6523,227.1945,233.9243,17900,228.64426
3741,2015-06-01,235.8003,235.8003,230.6799,233.7177,23500,229.59123
3742,2015-06-02,235.8003,238.4682,234.5095,235.6971,31200,232.10234
3743,2015-06-03,235.8003,235.8003,234.5181,234.6041,2900,232.953
3744,2015-06-04,234.0792,234.9398,234.0792,234.1566,2000,236.9246
3745,2015-06-05,233.2186,245.6885,232.3838,234.6472,12200,232.84698
3746,2015-06-08,236.5749,236.5749,234.0792,234.9484,2300,236.22427
3747,2015-06-09,232.3666,236.6609,232.3666,236.6609,4000,234.79326
3748,2015-06-10,232.5301,236.5663,232.358,236.0585,3000,235.85542
3749,2015-06-11,232.4441,236.6609,232.4441,236.6609,9300,236.74004
3750,2015-06-12,233.2702,235.80900000000003,233.2186,235.6368,4700,238.74435
3751,2015-06-15,236.6609,247.4182,237.5215,247.4182,65200,234.6079
3752,2015-06-16,255.5852,256.8331,246.5405,248.7005,87700,242.7919
3753,2015-06-17,252.926,252.926,240.9639,245.4131,35400,243.58801
3754,2015-06-18,245.2668,246.988,243.1153,243.5456,2100,245.43498
3755,2015-06-19,243.5456,243.5456,239.759,240.4819,700,245.58437
3756,2015-06-22,243.5456,243.5456,239.759,240.4819,700,246.14767
3757,2015-06-23,235.0258,238.3821,235.0258,237.5215,35300,242.80362
3758,2015-06-24,238.3821,243.537,235.8003,238.8812,51300,242.80193
