Date,Predicted Price
2016-05-12,128.20067
2016-05-13,126.786
2016-05-16,127.399414
2016-05-17,126.37944
2016-05-18,126.4535
2016-05-19,126.71332
2016-05-20,126.28989
2016-05-23,125.99661
2016-05-24,124.740234
2016-05-25,123.72139
2016-05-26,123.78909
2016-05-27,123.87559
2016-05-30,123.42494
2016-05-31,123.31992
2016-06-01,124.01556
2016-06-02,124.50665
2016-06-03,125.21448
2016-06-06,127.44944
2016-06-07,127.36421
2016-06-08,127.06584
2016-06-09,127.08785
2016-06-10,126.20374
2016-06-13,125.321106
2016-06-14,126.18751
2016-06-15,126.27486
2016-06-16,129.80428
2016-06-17,132.42633
2016-06-20,135.6643
2016-06-21,134.92334
2016-06-22,135.11456
2016-06-23,133.21594
2016-06-24,131.99887
2016-06-27,130.65799
2016-06-28,127.71861
2016-06-29,129.08961
2016-06-30,131.11475
2016-07-01,131.00423
2016-07-04,131.69427
2016-07-05,132.56271
2016-07-06,132.35394
2016-07-07,132.74873
2016-07-08,133.56702
2016-07-11,132.7826
2016-07-12,132.71295
2016-07-13,134.39027
2016-07-14,134.44287
2016-07-15,134.89816
2016-07-18,135.99554
2016-07-19,135.10881
2016-07-20,134.7927
2016-07-21,135.15497
2016-07-22,134.20596
2016-07-25,134.64856
2016-07-26,135.45914
2016-07-27,135.55484
2016-07-28,137.23085
2016-07-29,138.47095
2016-08-01,138.69968
2016-08-02,139.72598
2016-08-03,142.11795
2016-08-04,141.21602
2016-08-05,141.32228
2016-08-08,142.58366
2016-08-09,144.08054
2016-08-10,145.67975
2016-08-11,147.28348
2016-08-12,150.07256
2016-08-15,152.0122
2016-08-16,152.17357
2016-08-17,154.14746
2016-08-18,154.3457
2016-08-19,152.9779
2016-08-22,151.34023
2016-08-23,150.1879
2016-08-24,151.03699
2016-08-25,149.07074
2016-08-26,150.4173
2016-08-29,152.81773
2016-08-30,152.18861
2016-08-31,152.28467
2016-09-01,152.98004
2016-09-02,152.21942
2016-09-05,152.61407
2016-09-06,153.98889
